Time,com.sun.xml.ws.model.WrapperParameter Data
0,3140
1,314
2,6594
3,314
4,6594
5,314
6,6594
7,314
8,6594
9,314
10,6594
11,314
12,6594
13,314
14,6594
15,314
16,6594
17,314
18,48
19,6594
20,314
21,6594
22,314
23,6594
24,314
25,6594
26,314
27,6594
28,314
29,6594
30,314
31,6594
32,314
33,6594
34,314
35,6594
36,314
37,6594
38,314
39,6594
40,314
41,6594
42,314
43,48
44,6594
45,314
46,6594
47,314
48,6594
49,314
50,6594
51,314
52,6594
53,314
54,6594
55,314
56,6594
57,314
58,48
59,6594
60,314
61,6594
62,314
63,6594
64,314
65,6594
66,314
67,6594
68,314
69,6594
70,314
71,6594
72,314
73,6594
74,314
75,6594
76,314
77,6594
78,314
79,6594
80,314
81,6594
82,314
83,6594
84,314
85,6594
86,314
87,6594
88,314
89,6594
90,314
91,6594
92,314
93,6594
94,314
95,48
96,6594
97,314
98,6594
99,314
100,6594
101,314
102,6594
103,314
104,6594
105,314
106,48
107,6594
108,314
109,6594
110,314
111,6594
112,314
113,6594
114,314
115,6594
116,314
117,6594
118,314
119,6594
120,314
121,6594
122,314
123,48
124,6594
125,314
126,6594
127,314
128,6594
129,314
130,6594
131,314
132,6594
133,314
134,6594
135,314
136,6594
137,314
138,6594
139,314
140,48
141,6594
142,314
143,6594
144,314
145,6594
146,314
147,6594
148,314
149,6594
150,314
151,6594
152,314
153,6594
154,314
155,6594
156,314
157,6594
158,314
159,6594
160,314
161,6594
162,314
163,6594
164,314
165,6594
166,314
167,6594
168,314
169,6594
170,314
171,6594
172,314
173,6594
174,314
175,6594
176,314
177,6594
178,314
179,6594
180,314
181,6594
182,314
183,6594
184,314
185,6594
186,314
187,6594
188,314
189,6594
190,314
191,6594
192,314
193,6594
194,314
195,6594
196,314
197,6594
198,314
199,6594
200,314
201,6594
202,314
203,6594
204,314
205,6594
206,314
207,6594
208,314
209,6594
210,314
211,48
212,6594
213,314
214,6594
215,314
216,6594
217,314
218,6594
219,314
220,6594
221,314
222,48
223,6594
224,314
225,6594
226,314
227,6594
228,314
229,6594
230,314
231,6594
232,314
233,6594
234,314
235,6594
236,314
237,6594
238,314
239,6594
240,314
241,6594
242,314
243,6594
244,314
245,6594
246,314
247,6594
248,314
249,6594
250,314
251,6594
252,314
253,6594
254,314
255,6594
256,314
257,6594
258,314
259,6594
260,314
261,6594
262,314
263,6594
264,314
265,6594
266,314
267,6594
268,314
269,6594
270,314
271,6594
272,314
273,6594
274,314
275,6594
276,314
277,6594
278,314
279,6594
280,314
281,6594
282,314
283,6594
284,314
285,6594
286,314
287,6594
288,314
289,6594
290,314
291,6594
292,314
293,6594
294,314
295,6594
296,314
297,6594
298,314
299,6594
300,314
301,6594
302,314
303,6594
304,314
305,6594
306,314
307,6594
308,314
309,6594
310,314
311,6594
312,314
313,6594
314,314
315,6594
316,314
317,6594
318,314
319,6594
320,314
321,6594
322,314
323,6594
324,314
325,6594
326,314
327,48
328,6594
329,314
330,6594
331,314
332,6594
333,314
334,6594
335,314
336,6594
337,314
338,48
339,6594
340,314
341,6594
342,314
343,6594
344,314
345,6594
346,314
347,6594
348,314
349,6594
350,314
351,6594
352,314
353,48
354,6594
355,314
356,6594
357,314
358,6594
359,314
360,6594
361,314
362,6594
363,314
364,6594
365,314
366,6594
367,314
368,6594
369,314
370,6594
371,314
372,6594
373,314
374,6594
375,314
376,6594
377,314
378,6594
379,314
380,6594
381,314
382,6594
383,314
384,6594
385,314
386,6594
387,314
388,6594
389,314
390,6594
391,314
392,6594
393,314
394,6594
395,314
396,6594
397,314
398,6594
399,314
400,6594
401,314
402,6594
403,314
404,6594
405,314
406,6594
407,314
408,6594
409,314
410,6594
411,314
412,6594
413,314
414,6594
415,314
416,6594
417,314
418,6594
419,314
420,6594
421,314
422,6594
423,314
