Time,java.io.BufferedInputStream Data
0,92
1,159
2,165
3,141
4,146
5,191
6,166
7,152
8,137
9,146
10,169
11,98
12,159
13,153
14,145
15,159
16,179
17,168
18,249
19,207
20,80
21,111
22,231
23,87
24,102
25,212
26,203
27,187
28,160
29,116
30,77
31,265
32,170
33,113
34,106
35,110
36,59
37,242
38,103
39,263
40,164
41,212
42,161
43,129
44,261
45,182
46,128
47,198
48,108
49,167
50,234
51,148
52,202
53,92
54,84
55,146
56,232
57,243
58,76
59,135
60,177
61,216
62,248
63,302
64,76
65,97
66,171
67,181
68,181
69,115
70,173
71,153
72,162
73,170
74,159
75,130
76,118
77,295
78,271
79,160
80,156
81,133
82,292
83,244
84,139
85,108
86,172
87,119
88,171
89,144
90,230
91,150
92,94
93,248
94,149
95,319
96,235
97,79
98,293
99,263
100,163
101,307
102,254
103,339
104,208
105,190
106,104
107,274
108,359
109,206
110,294
111,143
112,294
113,225
114,303
115,149
116,303
117,102
118,240
119,373
120,163
121,315
122,127
123,228
124,354
125,164
126,238
127,354
128,165
129,208
130,345
131,164
132,135
133,166
134,289
135,398
136,132
137,268
138,261
139,312
140,91
141,136
142,109
143,240
144,216
145,267
146,377
147,367
148,88
149,120
150,142
151,176
152,236
153,74
154,135
155,161
156,200
157,206
158,248
159,191
160,266
161,286
162,277
163,288
164,325
165,168
166,175
167,211
168,177
169,155
170,194
171,151
172,119
173,102
174,117
175,93
176,406
