Time,[Ljava.lang.StringBuilder; Data
0,323
1,665
2,481
3,533
4,547
5,95
6,728
7,633
8,617
9,262
10,402
11,187
12,613
13,685
14,280
15,656
16,523
17,92
18,414
19,92
20,601
21,636
22,621
23,676
24,1009
25,883
26,161
27,88
28,266
29,870
30,199
31,204
32,707
33,739
34,679
35,555
36,198
37,1055
38,528
39,237
40,294
41,294
42,868
43,201
44,928
45,589
46,759
47,193
48,414
49,316
50,1007
51,785
52,481
53,788
54,406
55,562
56,904
57,434
58,437
59,83
60,811
61,265
62,142
63,546
64,847
65,891
66,189
67,377
68,564
69,778
70,956
71,1006
72,193
73,162
74,544
75,633
76,574
77,453
78,666
79,435
80,589
81,656
82,410
83,346
84,425
85,181
86,1222
87,1208
88,716
89,633
90,543
91,1243
92,953
93,412
94,372
95,667
96,365
97,331
98,762
99,531
100,370
101,900
102,566
103,325
104,1083
105,528
106,1372
107,918
108,175
109,1220
110,1148
111,584
112,1326
113,983
114,1374
115,808
116,216
117,723
118,176
119,1115
120,1443
121,788
122,1372
123,546
124,1096
125,239
126,879
127,1299
128,610
129,1302
130,211
131,909
132,1447
133,574
134,1395
135,372
136,834
137,1467
138,613
139,857
140,1467
141,610
142,778
143,1432
144,324
145,440
146,534
147,506
148,1072
149,1604
150,357
151,1079
152,1055
153,1305
154,166
155,493
156,343
157,960
158,811
159,1064
160,1549
161,1514
162,166
163,480
164,372
165,682
166,895
167,95
168,421
169,577
170,620
171,726
172,888
173,693
174,928
175,1200
176,960
177,1047
178,1329
179,588
180,683
181,752
182,616
183,624
184,733
185,415
186,393
187,316
188,278
189,217
190,1642
