Time,sun.net.www.protocol.jar.JarURLConnection Data
0,42
1,68
2,69
3,88
4,72
5,69
6,60
7,68
8,84
9,76
10,69
11,69
12,72
13,84
14,80
15,112
16,104
17,44
18,116
19,97
20,92
21,80
22,66
23,128
24,68
25,48
26,104
27,116
28,64
29,96
30,60
31,115
32,100
33,60
34,100
35,48
36,76
37,123
38,64
39,104
40,59
41,104
42,120
43,76
44,99
45,108
46,140
47,72
48,72
49,76
50,56
51,80
52,68
53,76
54,76
55,64
56,52
57,148
58,136
59,88
60,72
61,156
62,120
63,64
64,84
65,96
66,68
67,120
68,72
69,124
70,68
71,164
72,116
73,152
74,140
75,80
76,156
77,120
78,176
79,104
80,89
81,132
82,188
83,100
84,164
85,72
86,147
87,108
88,152
89,68
90,156
91,112
92,184
93,76
94,168
95,108
96,180
97,68
98,112
99,180
100,68
101,100
102,176
103,64
104,65
105,140
106,196
107,128
108,132
109,152
110,116
111,104
112,124
113,188
114,191
115,56
116,80
117,108
118,49
119,62
120,84
121,90
122,108
123,84
124,116
125,136
126,132
127,132
128,156
129,80
130,83
131,94
132,84
133,72
134,92
135,64
136,212
