Time,org.hibernate.hql.ast.tree.SqlFragment Data
0,481
1,586
2,646
3,721
4,796
5,856
6,931
7,1005
8,789
9,44
10,864
11,939
12,999
13,1074
14,1149
15,1209
16,1284
17,1358
18,1419
19,1494
20,1569
21,970
22,44
23,1045
24,1120
25,1180
26,1255
27,1330
28,1403
29,1465
30,44
31,1540
32,1601
33,1631
34,1705
35,940
36,1015
37,1075
38,1150
39,1225
40,1299
41,1360
42,1435
43,44
44,1509
45,1570
46,1645
47,1719
48,970
49,1045
50,44
51,1119
52,1180
53,1255
54,1330
55,1390
56,44
57,1465
58,1540
59,1600
60,1675
61,1750
62,955
63,1030
64,1105
65,44
66,1165
67,1240
68,1315
69,1388
70,1450
71,1524
72,1585
73,1659
74,44
75,1720
76,970
77,1044
78,1105
79,1180
80,1254
81,1315
82,927
83,988
84,1062
85,1137
86,1211
87,1272
88,1347
89,44
90,1422
91,1482
92,1557
93,1631
94,1692
95,931
96,1005
97,1066
98,1141
99,1216
100,1276
101,1351
102,1426
103,1487
104,1561
105,44
106,1636
107,1710
108,955
109,1030
110,1105
111,1165
112,44
113,1240
114,1314
115,1375
116,1450
117,1525
118,44
119,1585
120,1660
121,1735
122,942
123,1017
124,1092
125,1152
126,1227
127,1302
128,1376
129,1437
130,1512
131,1573
132,1647
133,1722
134,943
135,1017
136,1092
137,1166
138,1227
139,1302
140,1377
141,1437
142,1512
143,1587
144,1647
145,1722
146,955
147,1029
148,1090
149,1165
150,1239
151,1300
152,1375
153,1449
154,1510
155,1585
156,1646
157,1720
158,970
159,1031
160,1105
161,1180
162,1255
163,1315
164,1390
165,1465
166,1525
167,1600
168,1675
169,1735
170,957
171,44
172,1032
173,1092
174,1167
175,1242
176,1302
177,44
178,1377
179,1452
180,1525
181,1587
182,1662
183,1736
184,957
185,44
186,1032
187,1106
188,1167
189,1242
190,1316
191,1377
192,1452
193,1526
194,1587
195,1662
196,1737
197,955
198,1030
199,1105
200,1165
201,1240
202,1315
203,1375
204,1450
205,1524
206,1585
207,1660
208,1735
209,957
210,1032
211,1107
212,1167
213,1242
214,1317
215,1377
216,1452
217,1525
218,1587
219,1662
220,1722
