Time,org.hibernate.annotations.common.reflection.java.JavaXSimpleType Data
0,10633
1,540
2,10633
3,540
4,10633
5,540
6,10633
7,540
8,10633
9,540
10,10633
11,540
12,10633
13,540
14,10633
15,540
16,10633
17,540
18,10633
19,540
20,10633
21,540
22,10633
23,540
24,10633
25,540
26,10633
27,540
28,10633
29,540
30,10633
31,540
32,10633
33,540
34,10633
35,540
36,10633
37,540
38,10633
39,540
40,10633
41,540
42,10633
43,540
44,10633
45,540
46,10633
47,540
48,10633
49,540
50,10633
51,540
52,10633
53,540
54,10633
55,540
56,10633
57,540
58,10633
59,540
60,10633
61,540
62,10633
63,540
64,10633
65,540
66,10633
67,540
68,10633
69,540
70,10633
71,540
72,10633
73,540
74,10633
75,540
76,10633
77,540
78,10633
79,540
80,10633
81,540
82,10633
83,540
84,10633
85,540
86,10633
87,540
88,10633
89,540
90,10633
91,540
92,10633
93,540
94,10633
95,540
96,10633
97,540
98,10633
99,540
100,10633
101,540
102,10633
103,540
104,10633
105,540
106,10633
107,540
108,10633
109,540
110,10633
111,540
112,10633
113,540
114,10633
115,540
116,10633
117,540
118,10633
119,540
120,10633
121,540
122,10633
123,540
124,10633
125,540
126,10633
127,540
128,10633
129,540
130,10633
131,540
132,10633
133,540
134,10633
135,540
136,10633
137,540
138,10633
139,540
140,10633
141,540
142,10633
143,540
144,10633
145,540
146,10633
147,540
148,10633
149,540
150,10633
151,540
152,10633
153,540
154,10633
155,540
156,10633
157,540
158,10633
159,540
160,10633
161,540
162,10633
163,540
164,10633
165,540
166,10633
167,540
168,10633
169,540
170,10633
171,540
172,10633
173,540
174,10633
175,540
176,10633
177,540
178,10633
179,540
180,10633
181,540
182,10633
183,540
184,10633
185,540
186,10633
187,540
188,10633
189,540
190,10633
191,540
192,10633
193,540
194,10633
195,540
196,10633
197,540
198,10633
199,540
200,10633
201,540
202,10633
203,540
204,10633
205,540
206,10633
207,540
208,10633
209,540
210,10633
211,540
212,10633
213,540
214,10633
215,540
216,10633
217,540
218,10633
219,540
220,10633
221,540
222,10633
223,540
224,10633
225,540
226,10633
227,540
228,10633
229,540
230,10633
231,540
232,10633
233,540
234,10633
235,540
236,10633
237,540
238,10633
239,540
240,10633
241,540
242,10633
243,540
244,10633
245,540
246,10633
247,540
248,10633
249,540
250,10633
251,540
252,10633
253,540
254,10633
255,540
256,10633
257,540
258,10633
259,540
260,10633
261,540
262,10633
263,540
264,10633
265,540
266,10633
267,540
268,10633
269,540
270,10633
271,540
272,10633
273,540
274,10633
275,540
276,10633
277,540
278,10633
279,540
280,10633
281,540
282,10633
283,540
284,10633
285,540
286,10633
287,540
288,10633
289,540
290,10633
291,540
292,10633
293,540
294,10633
295,540
296,10633
297,540
298,10633
299,540
300,10633
301,540
302,10633
303,540
304,10633
305,540
306,10633
307,540
308,10633
309,540
310,10633
311,540
312,10633
313,540
314,10633
315,540
316,10633
317,540
318,10633
319,540
320,10633
321,540
322,10633
323,540
324,10633
325,540
326,10633
327,540
328,10633
329,540
330,10633
331,540
332,10633
333,540
334,10633
335,540
336,10633
337,540
338,10633
339,540
340,10633
341,540
342,10633
343,540
344,10633
345,540
346,10633
347,540
348,10633
349,540
350,10633
351,540
352,10633
353,540
354,10633
355,540
356,10633
357,540
358,10633
359,540
360,10633
361,540
362,10633
363,540
364,10633
365,540
366,10633
367,540
368,10633
369,540
370,10633
371,540
372,10633
373,540
374,10633
375,540
376,10633
377,540
378,10633
379,540
380,10633
381,540
382,10633
383,540
384,10633
385,540
386,10633
387,540
388,10633
389,540
390,10633
391,540
392,10633
393,540
394,10633
395,540
396,10633
397,540
398,10633
399,540
400,10633
401,540
402,10633
403,540
404,10633
405,540
406,10633
407,540
408,10633
409,540
410,10633
411,540
