Time,com.sun.xml.bind.v2.runtime.property.SingleElementNodeProperty Data
0,2405
1,216
2,5034
3,216
4,5034
5,216
6,5034
7,216
8,5034
9,216
10,5034
11,216
12,5034
13,216
14,5034
15,216
16,5034
17,216
18,62
19,5034
20,216
21,5034
22,216
23,5034
24,216
25,5034
26,216
27,5034
28,216
29,5034
30,216
31,5034
32,216
33,5034
34,216
35,5034
36,216
37,5034
38,216
39,5034
40,216
41,5034
42,216
43,62
44,5034
45,216
46,5034
47,216
48,5034
49,216
50,5034
51,216
52,5034
53,216
54,5034
55,216
56,5034
57,216
58,62
59,5034
60,216
61,5034
62,216
63,5034
64,216
65,5034
66,216
67,5034
68,216
69,5034
70,216
71,5034
72,216
73,5034
74,216
75,5034
76,216
77,5034
78,216
79,5034
80,216
81,5034
82,216
83,62
84,5034
85,216
86,5034
87,216
88,5034
89,216
90,5034
91,216
92,5034
93,216
94,5034
95,216
96,62
97,5034
98,216
99,5034
100,216
101,5034
102,216
103,5034
104,216
105,5034
106,216
107,62
108,5034
109,216
110,5034
111,216
112,5034
113,216
114,5034
115,216
116,5034
117,216
118,5034
119,216
120,5034
121,216
122,5034
123,216
124,62
125,5034
126,216
127,5034
128,216
129,5034
130,216
131,5034
132,216
133,5034
134,216
135,5034
136,216
137,5034
138,216
139,5034
140,216
141,62
142,5034
143,216
144,5034
145,216
146,5034
147,216
148,5034
149,216
150,5034
151,216
152,5034
153,216
154,5034
155,216
156,5034
157,216
158,5034
159,216
160,5034
161,216
162,5034
163,216
164,5034
165,216
166,5034
167,216
168,5034
169,216
170,62
171,5034
172,216
173,5034
174,216
175,5034
176,216
177,5034
178,216
179,5034
180,216
181,5034
182,216
183,5034
184,216
185,5034
186,216
187,5034
188,216
189,5034
190,216
191,5034
192,216
193,5034
194,216
195,5034
196,216
197,5034
198,216
199,5034
200,216
201,62
202,5034
203,216
204,5034
205,216
206,5034
207,216
208,5034
209,216
210,5034
211,216
212,5034
213,216
214,62
215,5034
216,216
217,5034
218,216
219,5034
220,216
221,5034
222,216
223,5034
224,216
225,62
226,5034
227,216
228,5034
229,216
230,5034
231,216
232,5034
233,216
234,5034
235,216
236,5034
237,216
238,5034
239,216
240,5034
241,216
242,5034
243,216
244,5034
245,216
246,5034
247,216
248,5034
249,216
250,5034
251,216
252,5034
253,216
254,5034
255,216
256,5034
257,216
258,5034
259,216
260,5034
261,216
262,5034
263,216
264,5034
265,216
266,5034
267,216
268,5034
269,216
270,5034
271,216
272,5034
273,216
274,5034
275,216
276,5034
277,216
278,5034
279,216
280,5034
281,216
282,5034
283,216
284,5034
285,216
286,5034
287,216
288,5034
289,216
290,5034
291,216
292,5034
293,216
294,5034
295,216
296,5034
297,216
298,5034
299,216
300,5034
301,216
302,5034
303,216
304,5034
305,216
306,5034
307,216
308,5034
309,216
310,5034
311,216
312,5034
313,216
314,5034
315,216
316,5034
317,216
318,5034
319,216
320,5034
321,216
322,5034
323,216
324,5034
325,216
326,5034
327,216
328,5034
329,216
330,62
331,5034
332,216
333,5034
334,216
335,5034
336,216
337,5034
338,216
339,5034
340,216
341,62
342,5034
343,216
344,5034
345,216
346,5034
347,216
348,5034
349,216
350,5034
351,216
352,5034
353,216
354,5034
355,216
356,62
357,5034
358,216
359,5034
360,216
361,5034
362,216
363,5034
364,216
365,5034
366,216
367,5034
368,216
369,5034
370,216
371,5034
372,216
373,5034
374,216
375,5034
376,216
377,5034
378,216
379,5034
380,216
381,5034
382,216
383,5034
384,216
385,5034
386,216
387,5034
388,216
389,5034
390,216
391,5034
392,216
393,5034
394,216
395,5034
396,216
397,5034
398,216
399,5034
400,216
401,5034
402,216
403,5034
404,216
405,5034
406,216
407,5034
408,216
409,5034
410,216
411,5034
412,216
413,5034
414,216
415,5034
416,216
417,5034
418,216
419,5034
420,216
421,5034
422,216
423,5034
424,216
425,5034
426,216
