Time,javax.security.auth.Subject$SecureSet Data
0,357
1,495
2,558
3,576
4,630
5,630
6,744
7,777
8,639
9,789
10,807
11,888
12,909
13,981
14,1014
15,1029
16,1116
17,1140
18,1110
19,1191
20,1152
21,1290
22,1359
23,1398
24,1428
25,1545
26,1533
27,1473
28,1560
29,1581
30,1617
31,1743
32,1671
33,1770
34,1869
35,1914
36,1947
37,1968
38,1977
39,2001
40,2157
41,2139
42,2154
43,2187
44,2205
45,2244
46,2424
47,2376
48,2520
49,2487
50,2460
51,2601
52,2577
53,2658
54,2676
55,2808
56,2739
57,2775
58,2769
59,2814
60,2952
61,2940
62,3024
63,3096
64,3063
65,3138
66,3111
67,3138
68,3255
69,3261
70,3300
71,3372
72,3483
73,3519
74,3432
75,3570
76,3618
77,3693
78,3762
79,3840
80,3732
81,3789
82,3822
83,3909
84,3969
85,4002
86,3963
87,4074
88,4110
89,4143
90,4203
91,4248
92,4266
93,4287
94,4308
95,4341
96,4524
97,4557
98,4491
99,4563
100,4590
101,4572
102,4764
103,4794
104,4767
105,4788
106,4788
107,4896
108,4917
109,4941
110,5004
111,5049
112,5073
113,5205
114,5178
115,5199
116,5334
117,5322
118,5463
119,5460
120,5394
121,5568
122,5562
123,5571
124,5706
125,5724
126,5805
127,5760
128,5748
129,5847
130,5844
131,5982
132,6066
133,6024
134,6093
135,6060
136,6222
137,6126
138,6258
139,6354
140,6291
141,6432
142,6345
143,6486
144,6612
145,6507
146,6606
147,6564
148,6666
149,6792
150,6720
151,6792
152,6915
153,6840
154,6900
155,7035
156,6936
157,7011
158,6966
159,7065
160,7131
161,7251
162,7377
163,7188
164,7272
165,7404
166,7440
167,7530
168,7428
169,7503
170,7473
171,7563
172,7689
173,7710
174,7785
175,7917
176,7938
177,7812
178,7872
179,7926
180,7986
181,8067
182,8004
183,8076
184,8139
185,8199
186,8250
187,8328
188,8319
189,8424
190,8460
191,8499
192,8556
193,8628
194,8556
195,8607
196,8679
197,8688
198,8715
199,8784
200,8805
201,8829
202,8844
203,8910
204,8937
205,9180
