Time,com.sun.xml.bind.v2.model.impl.RuntimeTypeRefImpl Data
0,13095
1,1423
2,325
3,27472
4,1423
5,325
6,27472
7,1423
8,325
9,27472
10,1423
11,325
12,27472
13,1423
14,325
15,27472
16,1423
17,325
18,27472
19,1423
20,325
21,27472
22,1423
23,325
24,27472
25,1423
26,325
27,60
28,27472
29,1423
30,325
31,27472
32,1423
33,325
34,27472
35,1423
36,325
37,27472
38,1423
39,325
40,27472
41,1423
42,325
43,27472
44,1423
45,325
46,27472
47,1423
48,325
49,27472
50,1423
51,325
52,27472
53,1423
54,325
55,27472
56,1423
57,325
58,27472
59,1423
60,325
61,27472
62,1423
63,325
64,60
65,27472
66,1423
67,325
68,27472
69,1423
70,325
71,27472
72,1423
73,325
74,27472
75,1423
76,325
77,27472
78,1423
79,325
80,27472
81,1423
82,325
83,27472
84,1423
85,325
86,60
87,27472
88,1423
89,325
90,27472
91,1423
92,325
93,27472
94,1423
95,325
96,27472
97,1423
98,325
99,27472
100,1423
101,325
102,27472
103,1423
104,325
105,27472
106,1423
107,325
108,27472
109,1423
110,325
111,27472
112,1423
113,325
114,27472
115,1423
116,325
117,27472
118,1423
119,325
120,27472
121,1423
122,325
123,60
124,27472
125,1423
126,325
127,27472
128,1423
129,325
130,27472
131,1423
132,325
133,27472
134,1423
135,325
136,27472
137,1423
138,325
139,27472
140,1423
141,325
142,60
143,27472
144,1423
145,325
146,27472
147,1423
148,325
149,27472
150,1423
151,325
152,27472
153,1423
154,325
155,27472
156,1423
157,325
158,60
159,27472
160,1423
161,325
162,27472
163,1423
164,325
165,27472
166,1423
167,325
168,27472
169,1423
170,325
171,27472
172,1423
173,325
174,27472
175,1423
176,325
177,27472
178,1423
179,325
180,27472
181,1423
182,325
183,60
184,27472
185,1423
186,325
187,27472
188,1423
189,325
190,27472
191,1423
192,325
193,27472
194,1423
195,325
196,27472
197,1423
198,325
199,27472
200,1423
201,325
202,27472
203,1423
204,325
205,27472
206,1423
207,325
208,60
209,27472
210,1423
211,325
212,27472
213,1423
214,325
215,27472
216,1423
217,325
218,27472
219,1423
220,325
221,27472
222,1423
223,325
224,27472
225,1423
226,325
227,27472
228,1423
229,325
230,27472
231,1423
232,325
233,27472
234,1423
235,325
236,27472
237,1423
238,325
239,27472
240,1423
241,325
242,27472
243,1423
244,325
245,27472
246,1423
247,325
248,27472
249,1423
250,325
251,60
252,27472
253,1423
254,325
255,27472
256,1423
257,325
258,27472
259,1423
260,325
261,27472
262,1423
263,325
264,27472
265,1423
266,325
267,27472
268,1423
269,325
270,27472
271,1423
272,325
273,27472
274,1423
275,325
276,27472
277,1423
278,325
279,27472
280,1423
281,325
282,27472
283,1423
284,325
285,27472
286,1423
287,325
288,27472
289,1423
290,325
291,27472
292,1423
293,325
294,27472
295,1423
296,325
297,60
298,27472
299,1423
300,325
301,27472
302,1423
303,325
304,27472
305,1423
306,325
307,27472
308,1423
309,325
310,27472
311,1423
312,325
313,27472
314,1423
315,325
316,60
317,27472
318,1423
319,325
320,27472
321,1423
322,325
323,27472
324,1423
325,325
326,27472
327,1423
328,325
329,27472
330,1423
331,325
332,60
333,27472
334,1423
335,325
336,27472
337,1423
338,325
339,27472
340,1423
341,325
342,27472
343,1423
344,325
345,27472
346,1423
347,325
348,27472
349,1423
350,325
351,27472
352,1423
353,325
354,27472
355,1423
356,325
357,27472
358,1423
359,325
360,27472
361,1423
362,325
363,27472
364,1423
365,325
366,27472
367,1423
368,325
369,27472
370,1423
371,325
372,27472
373,1423
374,325
375,27472
376,1423
377,325
378,27472
379,1423
380,325
381,27472
382,1423
383,325
384,27472
385,1423
386,325
387,27472
388,1423
389,325
390,27472
391,1423
392,325
393,27472
394,1423
395,325
396,27472
397,1423
398,325
399,27472
400,1423
401,325
402,27472
403,1423
404,325
405,27472
406,1423
407,325
408,27472
409,1423
410,325
411,27472
412,1423
413,325
414,27472
415,1423
416,325
417,27472
418,1423
419,325
420,27472
421,1423
422,325
423,27472
424,1423
425,325
426,27472
427,1423
428,325
429,27472
430,1423
431,325
432,27472
433,1423
434,325
435,27472
436,1423
437,325
438,27472
439,1423
440,325
441,27472
442,1423
443,325
444,27472
445,1423
446,325
447,27472
448,1423
449,325
450,27472
451,1423
452,325
453,27472
454,1423
455,325
456,27472
457,1423
458,325
459,27472
460,1423
461,325
462,27472
463,1423
464,325
465,27472
466,1423
467,325
468,27472
469,1423
470,325
471,27472
472,1423
473,325
474,27472
475,1423
476,325
477,27472
478,1423
479,325
480,27472
481,1423
482,325
483,27472
484,1423
485,325
486,27472
487,1423
488,325
489,60
490,27472
491,1423
492,325
493,27472
494,1423
495,325
496,27472
497,1423
498,325
499,27472
500,1423
501,325
502,27472
503,1423
504,325
505,60
506,27472
507,1423
508,325
509,27472
510,1423
511,325
512,27472
513,1423
514,325
515,27472
516,1423
517,325
518,27472
519,1423
520,325
521,27472
522,1423
523,325
524,27472
525,1423
526,325
527,60
528,27472
529,1423
530,325
531,27472
532,1423
533,325
534,27472
535,1423
536,325
537,27472
538,1423
539,325
540,27472
541,1423
542,325
543,27472
544,1423
545,325
546,27472
547,1423
548,325
549,27472
550,1423
551,325
552,27472
553,1423
554,325
555,27472
556,1423
557,325
558,27472
559,1423
560,325
561,27472
562,1423
563,325
564,27472
565,1423
566,325
567,27472
568,1423
569,325
570,27472
571,1423
572,325
573,27472
574,1423
575,325
576,27472
577,1423
578,325
579,27472
580,1423
581,325
582,27472
583,1423
584,325
585,27472
586,1423
587,325
588,27472
589,1423
590,325
591,27472
592,1423
593,325
594,27472
595,1423
596,325
597,27472
598,1423
599,325
600,27472
601,1423
602,325
603,27472
604,1423
605,325
606,27472
607,1423
608,325
609,27472
610,1423
611,325
612,27472
613,1423
614,325
615,27472
616,1423
617,325
618,27472
619,1423
620,325
621,27472
622,1423
623,325
624,27472
625,1423
626,325
627,27472
628,1423
629,325
630,27472
631,1423
632,325
