Time,org.hibernate.hql.ast.tree.IdentNode Data
0,5289
1,424
2,7108
3,424
4,7639
5,424
6,8408
7,424
8,9157
9,424
10,9693
11,424
12,10498
13,424
14,11237
15,424
16,8930
17,424
18,9731
19,424
20,10448
21,424
22,11025
23,424
24,11773
25,424
26,12566
27,424
28,13158
29,424
30,13851
31,424
32,14646
33,424
34,15216
35,424
36,15933
37,424
38,16715
39,424
40,10021
41,424
42,10798
43,424
44,11571
45,424
46,12139
47,424
48,12912
49,424
50,13689
51,424
52,14364
53,424
54,14938
55,424
56,15691
57,424
58,16339
59,424
60,16637
61,424
62,17382
63,424
64,9709
65,424
66,10458
67,424
68,11100
69,424
70,11855
71,424
72,12600
73,424
74,13339
75,424
76,13881
77,424
78,14626
79,424
80,15457
81,424
82,15999
83,424
84,16716
85,424
86,17483
87,424
88,10006
89,424
90,10747
91,424
92,11550
93,424
94,12104
95,424
96,12897
97,424
98,13638
99,424
100,14174
101,424
102,14979
103,424
104,15673
105,424
106,16269
107,424
108,17037
109,424
110,17842
111,424
112,9927
113,424
114,10644
115,424
116,11357
117,424
118,11953
119,424
120,12758
121,424
122,13475
123,424
124,14158
125,424
126,14844
127,424
128,15560
129,424
130,16134
131,424
132,16868
133,424
134,17466
135,424
136,10080
137,424
138,10787
139,424
140,11357
141,424
142,12158
143,424
144,12910
145,424
146,13503
147,424
148,9635
149,424
150,10315
151,424
152,11004
153,424
154,11777
155,424
156,12544
157,424
158,13118
159,424
160,13803
161,424
162,14557
163,424
164,15144
165,424
166,15921
167,424
168,16688
169,424
170,17262
171,424
172,9691
173,424
174,10458
175,424
176,11004
177,424
178,11782
179,424
180,12550
181,424
182,13103
183,424
184,13835
185,424
186,14613
187,424
188,15256
189,424
190,15917
191,424
192,16759
193,424
194,17521
195,424
196,9913
197,424
198,10658
199,424
200,11403
201,424
202,11939
203,424
204,12776
205,424
206,13487
207,424
208,14029
209,424
210,14802
211,424
212,15515
213,424
214,16167
215,424
216,16884
217,424
218,17633
219,424
220,9831
221,424
222,10553
223,424
224,11293
225,424
226,11917
227,424
228,12639
229,424
230,13379
231,424
232,14202
233,424
234,14720
235,424
236,15553
237,424
238,16149
239,424
240,16774
241,424
242,17611
243,424
244,9919
245,424
246,10548
247,424
248,11381
249,424
250,12092
251,424
252,12699
253,424
254,13407
255,424
256,14101
257,424
258,14748
259,424
260,15433
261,424
262,16270
263,424
264,16871
265,424
266,17579
267,424
268,9987
269,424
270,10656
271,424
272,11272
273,424
274,11962
275,424
276,12780
277,424
278,13410
279,424
280,14099
281,424
282,14898
283,424
284,15380
285,424
286,16189
287,424
288,16873
289,424
290,17498
291,424
292,10136
293,424
294,10700
295,424
296,11417
297,424
298,12222
299,424
300,12907
301,424
302,13503
303,424
304,14308
305,424
306,14993
307,424
308,15589
309,424
310,16394
311,424
312,17051
313,424
314,17643
315,424
316,9920
317,424
318,10725
319,424
320,11289
321,424
322,12075
323,424
324,12875
325,424
326,13347
327,424
328,14120
329,424
330,14929
331,424
332,15608
333,424
334,16298
335,424
336,16927
337,424
338,17722
339,424
340,9920
341,424
342,10697
343,424
344,11496
345,424
346,12066
347,424
348,12839
349,424
350,13614
351,424
352,14212
353,424
354,14841
355,424
356,15636
357,424
358,16182
359,424
360,16983
361,424
362,17737
363,424
364,9867
365,424
366,10644
367,424
368,11417
369,424
370,11985
371,424
372,12758
373,424
374,13507
375,424
376,14099
377,424
378,14848
379,424
380,15639
381,424
382,16185
383,424
384,16939
385,424
386,17735
387,424
388,9947
389,424
390,10720
391,424
392,11465
393,424
394,12033
395,424
396,12806
397,424
398,13551
399,424
400,14091
401,424
402,14864
403,424
404,15548
405,424
406,16177
407,424
408,16922
409,424
410,17634
411,424
