Time,org.postgresql.core.v3.SimpleQuery Data
0,885
1,652
2,1308
3,1085
4,1322
5,844
6,1317
7,977
8,1317
9,1008
10,894
11,732
12,1317
13,1043
14,1317
15,1001
16,160
17,45
18,898
19,850
20,764
21,761
22,908
23,703
24,908
25,654
26,908
27,831
28,908
29,865
30,908
31,680
32,908
33,831
34,908
35,859
36,629
37,485
38,908
39,887
40,207
41,888
42,837
43,895
44,891
45,898
46,842
47,928
48,898
49,1321
50,991
51,1321
52,1007
53,602
54,475
55,898
56,718
57,737
58,475
59,607
60,475
61,902
62,857
63,492
64,466
65,1025
66,897
67,1323
68,1176
69,1346
70,1155
71,1357
72,1340
73,1752
74,1385
75,1329
76,1160
77,1185
78,906
79,1752
80,1544
81,1249
82,906
83,1329
84,1287
85,1244
86,1014
87,458
88,411
89,1311
90,847
91,1741
92,1285
93,1322
94,866
95,1745
96,1274
97,1326
98,1154
99,903
100,759
101,1349
102,1115
103,1466
104,1052
105,1466
106,1079
107,1466
108,1013
109,1889
110,1352
111,534
112,465
113,894
114,893
115,900
116,840
117,713
118,480
119,1326
120,1043
121,907
122,853
123,907
124,904
125,1142
126,903
127,907
128,858
129,912
130,903
131,896
132,840
133,903
134,757
135,1312
136,907
137,1742
138,1180
139,1322
140,1105
141,1752
142,1257
143,2175
144,1517
145,1748
146,1443
147,839
148,760
149,1440
150,1254
151,1449
152,1268
153,1458
154,1454
155,1884
156,1544
157,1880
158,1541
159,1149
160,1038
161,1461
162,1202
163,1457
164,1252
165,1461
166,1239
167,1461
168,1398
169,1457
170,1241
171,458
172,452
173,1674
174,1134
175,1254
176,952
177,1265
178,983
179,1268
180,1128
181,1264
182,953
183,1268
184,926
185,1268
186,998
187,1264
188,963
189,845
190,825
191,2116
192,1383
193,2114
194,1345
195,482
196,473
197,1025
198,904
199,1334
200,1050
201,915
202,751
203,1338
204,1208
205,1338
206,1152
207,915
208,871
209,915
210,832
211,917
212,842
213,958
214,915
215,921
216,915
217,915
218,848
219,468
220,460
221,907
222,891
223,898
224,867
225,1066
226,901
227,1324
228,983
229,901
230,836
231,1619
232,1342
233,1194
234,922
235,2040
236,1451
237,1617
238,1198
239,1194
240,907
241,2040
242,1328
243,978
244,882
245,1736
246,1304
247,1743
248,1657
249,1747
250,1472
251,2172
252,1646
253,1747
254,1484
255,1747
256,1308
257,1747
258,1411
259,1324
260,1152
261,1747
262,1517
263,2170
264,1692
265,1747
266,1492
267,883
268,818
269,1314
270,979
271,1323
272,1246
273,1324
274,1098
275,1378
276,1295
277,1747
278,1461
279,1324
280,1176
281,1747
282,1430
283,901
284,889
285,1324
286,1276
287,1431
288,1324
289,1324
290,1009
291,1307
292,1252
293,1539
294,1315
295,1745
296,1662
297,2171
298,1952
299,1748
300,1623
301,1748
302,1645
303,2171
304,1947
305,1748
306,1612
307,1748
308,1660
309,2171
310,1913
311,1740
312,1669
313,1574
314,1325
315,1305
316,1285
317,1736
318,1652
319,1741
320,1667
321,1871
322,1744
323,2169
324,2035
325,1360
326,1323
327,1701
328,1623
329,1896
330,1825
331,2321
332,1811
333,2319
334,2009
335,1510
336,1473
337,1896
338,1618
339,1305
340,1059
341,1735
342,1425
343,2165
344,1633
345,1745
346,1539
347,2168
348,1815
349,2168
350,1891
351,2168
352,1782
353,1743
354,1335
355,1745
356,1389
357,1741
358,1393
359,1745
360,1516
361,1961
362,1671
363,1308
364,1116
365,1742
366,1396
367,1749
368,1489
369,1360
370,1329
371,1754
372,1529
373,1752
374,1673
375,1752
376,1478
377,2175
378,1691
379,2175
380,1726
381,1748
382,1670
383,2175
384,1809
385,2594
386,1924
387,1312
388,1281
389,1396
390,1319
391,1532
392,1326
393,1364
394,1329
395,1413
396,1329
397,1752
398,1503
399,1341
400,1329
401,1352
402,1329
403,1329
404,1238
405,1329
406,1313
407,1330
408,1329
409,1752
410,1749
