Time,com.sun.org.apache.xerces.internal.impl.dtd.XMLDTDDescription Data
0,142
1,216
2,227
3,179
4,185
5,276
6,228
7,222
8,195
9,102
10,216
11,264
12,134
13,240
14,225
15,65
16,143
17,65
18,215
19,228
20,268
21,257
22,348
23,321
24,155
25,360
26,126
27,94
28,301
29,288
30,251
31,212
32,126
33,389
34,219
35,109
36,98
37,162
38,324
39,102
40,360
41,204
42,299
43,195
44,134
45,355
46,312
47,190
48,313
49,154
50,243
51,383
52,155
53,207
54,66
55,324
56,100
57,100
58,189
59,321
60,373
61,89
62,147
63,239
64,311
65,333
66,433
67,110
68,228
69,228
70,243
71,183
72,252
73,218
74,240
75,239
76,210
77,171
78,155
79,450
80,414
81,276
82,227
83,182
84,473
85,369
86,206
87,139
88,264
89,159
90,120
91,300
92,216
93,134
94,372
95,228
96,116
97,379
98,220
99,498
100,357
101,114
102,461
103,429
104,252
105,474
106,369
107,535
108,324
109,282
110,114
111,405
112,571
113,313
114,498
115,231
116,456
117,333
118,466
119,215
120,475
121,135
122,348
123,562
124,243
125,510
126,141
127,337
128,547
129,216
130,349
131,547
132,215
133,312
134,535
135,207
136,178
137,214
138,430
139,595
140,159
141,393
142,406
143,466
144,77
145,180
146,122
147,357
148,325
149,386
150,571
151,581
152,77
153,155
154,182
155,252
156,332
157,66
158,161
159,200
160,267
161,284
162,336
163,264
164,360
165,414
166,409
167,405
168,475
169,251
170,262
171,297
172,263
173,228
174,288
175,207
176,146
177,135
178,138
179,98
180,644
