Time,org.apache.hadoop.hdfs.protocol.proto.HdfsProtos$ExtendedBlockProto Data
0,176
1,107
2,140
3,143
4,44
5,194
6,180
7,149
8,116
9,157
10,180
11,183
12,89
13,187
14,177
15,125
16,113
17,183
18,136
19,184
20,212
21,196
22,49
23,65
24,216
25,55
26,64
27,200
28,193
29,169
30,172
31,55
32,254
33,131
34,68
35,68
36,247
37,259
38,176
39,177
40,110
41,170
42,209
43,199
44,89
45,41
46,227
47,76
48,131
49,242
50,132
51,177
52,45
53,41
54,203
55,58
56,50
57,140
58,283
59,241
60,61
61,151
62,141
63,199
64,299
65,259
66,107
67,52
68,134
69,183
70,127
71,167
72,184
73,121
74,177
75,158
76,82
77,125
78,127
79,112
80,329
81,317
82,190
83,154
84,142
85,277
86,305
87,118
88,91
89,182
90,158
91,70
92,196
93,167
94,79
95,227
96,171
97,307
98,124
99,346
100,268
101,52
102,285
103,327
104,140
105,338
106,211
107,374
108,202
109,116
110,193
111,52
112,278
113,388
114,228
115,343
116,81
117,307
118,119
119,292
120,364
121,151
122,365
123,61
124,212
125,393
126,130
127,350
128,136
129,237
130,388
131,179
132,239
133,387
134,151
135,199
136,380
137,124
138,176
139,139
140,178
141,331
142,403
143,158
144,227
145,252
146,365
147,64
148,140
149,121
150,250
151,231
152,313
153,433
154,395
155,64
156,131
157,144
158,188
159,280
160,85
161,145
162,136
163,193
164,247
165,178
166,259
167,316
168,250
169,320
170,364
171,127
172,184
173,199
174,130
175,172
176,193
177,135
178,134
179,61
180,65
181,80
182,443
