Time,java.lang.Boolean Data
0,461
1,439
2,431
3,469
4,450
5,453
6,354
7,368
8,467
9,461
10,457
11,384
12,432
13,312
14,467
15,468
16,566
17,553
18,183
19,488
20,467
21,470
22,461
23,443
24,730
25,281
26,473
27,497
28,447
29,465
30,341
31,371
32,573
33,473
34,404
35,489
36,498
37,416
38,374
39,487
40,444
41,779
42,474
43,348
44,416
45,454
46,773
47,488
48,320
49,387
50,439
51,364
52,442
53,292
54,444
55,443
56,306
57,420
58,332
59,873
60,865
61,452
62,442
63,424
64,811
65,761
66,296
67,447
68,359
69,454
70,439
71,473
72,441
73,863
74,886
75,644
76,817
77,782
78,884
79,541
80,891
81,459
82,338
83,457
84,567
85,897
86,473
87,883
88,498
89,339
90,770
91,854
92,440
93,885
94,473
95,822
96,887
97,340
98,477
99,904
100,454
101,475
102,905
103,441
104,458
105,901
106,348
107,365
108,435
109,370
110,797
111,921
112,359
113,559
114,563
115,859
116,434
117,347
118,544
119,474
120,795
121,907
122,909
123,423
124,338
125,456
126,763
127,422
128,455
129,467
130,448
131,473
132,859
133,483
134,782
135,892
136,418
137,453
138,467
139,383
140,449
141,456
142,307
143,352
144,925
