Time,javax.security.auth.Subject$ClassSet Data
0,265
1,1195
2,1012
3,897
4,1041
5,224
6,1293
7,1209
8,1014
9,777
10,858
11,344
12,1223
13,1225
14,497
15,1251
16,1228
17,825
18,98
19,663
20,1237
21,765
22,1329
23,1511
24,1364
25,178
26,308
27,1525
28,372
29,243
30,1380
31,1399
32,1193
33,1280
34,372
35,1696
36,832
37,271
38,195
39,456
40,1509
41,358
42,1579
43,1191
44,1341
45,686
46,1101
47,222
48,1551
49,1427
50,439
51,210
52,1553
53,396
54,691
55,1729
56,868
57,1144
58,209
59,277
60,1441
61,269
62,358
63,972
64,1801
65,1757
66,180
67,1008
68,740
69,1427
70,2058
71,1855
72,671
73,372
74,896
75,1237
76,662
77,1162
78,1350
79,657
80,1184
81,1125
82,648
83,799
84,732
85,764
86,84
87,2295
88,2327
89,1385
90,1111
91,1041
92,1822
93,2097
94,643
95,890
96,1225
97,1017
98,265
99,1413
100,1127
101,362
102,1593
103,1141
104,194
105,2230
106,695
107,2468
108,1841
109,372
110,1867
111,2287
112,937
113,2411
114,1565
115,2624
116,1441
117,715
118,1399
119,358
120,1759
121,2695
122,1553
123,2468
124,698
125,1983
126,729
127,2040
128,2617
129,1084
130,2580
131,428
132,1497
133,2758
134,691
135,2524
136,945
137,1623
138,2692
139,1223
140,1637
141,2692
142,1097
143,1427
144,2728
145,860
146,1144
147,140
148,1013
149,1220
150,2173
151,2877
152,1017
153,1657
154,1776
155,2617
156,166
157,1085
158,140
159,849
160,1607
161,1567
162,2241
163,2880
164,2868
165,166
166,957
167,676
168,1265
169,1815
170,152
171,406
172,1055
173,719
174,1399
175,1581
176,1318
177,1579
178,2196
179,1799
180,2170
181,2580
182,747
183,1329
184,1441
185,782
186,1258
187,1399
188,841
189,902
190,377
191,404
192,455
193,3093
