Time,org.apache.hadoop.security.User Data
0,119
1,165
2,186
3,192
4,210
5,210
6,248
7,259
8,213
9,263
10,269
11,296
12,303
13,327
14,338
15,343
16,372
17,380
18,370
19,397
20,384
21,430
22,453
23,466
24,476
25,515
26,511
27,491
28,520
29,527
30,539
31,581
32,557
33,590
34,623
35,638
36,649
37,656
38,659
39,667
40,719
41,713
42,718
43,729
44,735
45,748
46,808
47,792
48,840
49,829
50,820
51,867
52,859
53,886
54,892
55,936
56,913
57,925
58,923
59,938
60,984
61,980
62,1008
63,1032
64,1021
65,1046
66,1037
67,1046
68,1085
69,1087
70,1100
71,1124
72,1161
73,1173
74,1144
75,1190
76,1206
77,1231
78,1254
79,1280
80,1244
81,1263
82,1274
83,1303
84,1323
85,1334
86,1321
87,1358
88,1370
89,1381
90,1401
91,1416
92,1422
93,1429
94,1436
95,1447
96,1508
97,1519
98,1497
99,1521
100,1530
101,1524
102,1588
103,1598
104,1589
105,1596
106,1596
107,1632
108,1639
109,1647
110,1668
111,1683
112,1691
113,1735
114,1726
115,1733
116,1778
117,1774
118,1821
119,1820
120,1798
121,1856
122,1854
123,1857
124,1902
125,1908
126,1935
127,1920
128,1916
129,1949
130,1948
131,1994
132,2022
133,2008
134,2031
135,2020
136,2074
137,2042
138,2086
139,2118
140,2097
141,2144
142,2115
143,2162
144,2204
145,2169
146,2202
147,2188
148,2222
149,2264
150,2240
151,2264
152,2305
153,2280
154,2300
155,2345
156,2312
157,2337
158,2322
159,2355
160,2377
161,2417
162,2459
163,2396
164,2424
165,2468
166,2480
167,2510
168,2476
169,2501
170,2491
171,2521
172,2563
173,2570
174,2595
175,2639
176,2646
177,2604
178,2624
179,2642
180,2662
181,2689
182,2668
183,2692
184,2713
185,2733
186,2750
187,2776
188,2773
189,2808
190,2820
191,2833
192,2852
193,2876
194,2852
195,2869
196,2893
197,2896
198,2905
199,2928
200,2935
201,2943
202,2948
203,2970
204,2979
205,3060
