Time,com.sun.xml.bind.v2.runtime.ElementBeanInfoImpl Data
0,1213
1,2544
2,2544
3,2544
4,2544
5,2544
6,2544
7,2544
8,2544
9,2544
10,2544
11,2544
12,2544
13,2544
14,2544
15,2544
16,2544
17,2544
18,2544
19,2544
20,2544
21,2544
22,2544
23,2544
24,2544
25,2544
26,2544
27,2544
28,2544
29,2544
30,2544
31,2544
32,2544
33,2544
34,2544
35,2544
36,2544
37,2544
38,2544
39,2544
40,2544
41,2544
42,2544
43,2544
44,2544
45,2544
46,2544
47,2544
48,2544
49,2544
50,2544
51,2544
52,2544
53,2544
54,2544
55,2544
56,2544
57,2544
58,2544
59,2544
60,2544
61,2544
62,2544
63,2544
64,2544
65,2544
66,2544
67,2544
68,2544
69,2544
70,2544
71,2544
72,2544
73,2544
74,2544
75,2544
76,2544
77,2544
78,2544
79,2544
80,2544
81,2544
82,2544
83,2544
84,2544
85,2544
86,2544
87,2544
88,2544
89,2544
90,2544
91,2544
92,2544
93,2544
94,2544
95,2544
96,2544
97,2544
98,2544
99,2544
100,2544
101,2544
102,2544
103,2544
104,2544
105,2544
106,2544
107,2544
108,2544
109,2544
110,2544
111,2544
112,2544
113,2544
114,2544
115,2544
116,2544
117,2544
118,2544
119,2544
120,2544
121,2544
122,2544
123,2544
124,2544
125,2544
126,2544
127,2544
128,2544
129,2544
130,2544
131,2544
132,2544
133,2544
134,2544
135,2544
136,2544
137,2544
138,2544
139,2544
140,2544
141,2544
142,2544
143,2544
144,2544
145,2544
146,2544
147,2544
148,2544
149,2544
150,2544
151,2544
152,2544
153,2544
154,2544
155,2544
156,2544
157,2544
158,2544
159,2544
160,2544
161,2544
162,2544
163,2544
164,2544
165,2544
166,2544
167,2544
168,2544
169,2544
170,2544
171,2544
172,2544
173,2544
174,2544
175,2544
176,2544
177,2544
178,2544
179,2544
180,2544
181,2544
182,2544
183,2544
184,2544
185,2544
186,2544
187,2544
188,2544
189,2544
190,2544
191,2544
192,2544
193,2544
194,2544
195,2544
196,2544
197,2544
198,2544
199,2544
200,2544
201,2544
202,2544
203,2544
204,2544
205,2544
