Time,javax.management.openmbean.TabularDataSupport Data
0,112
1,144
2,180
3,206
4,222
5,232
6,240
7,252
8,260
9,268
10,276
11,284
12,292
13,300
14,310
15,318
16,326
17,332
18,338
19,350
20,358
21,364
22,372
23,380
24,388
25,396
26,404
27,410
28,418
29,426
30,434
31,444
32,452
33,458
34,466
35,472
36,480
37,488
38,494
39,502
40,508
41,516
42,522
43,532
44,540
45,548
46,554
47,560
48,568
49,574
50,580
51,588
52,594
53,602
54,608
55,616
56,624
57,630
58,636
59,642
60,648
61,658
62,664
63,670
64,676
65,682
66,688
67,696
68,702
69,708
70,714
71,720
72,726
73,736
74,742
75,748
76,754
77,760
78,766
79,772
80,778
81,784
82,790
83,794
84,800
85,810
86,816
87,822
88,828
89,832
90,838
91,844
92,850
93,856
94,860
95,866
96,872
97,880
98,886
99,892
100,896
101,902
102,908
103,912
104,918
105,922
106,928
107,934
108,938
109,946
110,952
111,956
112,962
113,966
114,972
115,978
116,982
117,988
118,992
119,996
120,1002
121,1010
122,1016
123,1020
124,1026
125,1030
126,1034
127,1040
128,1044
129,1050
130,1054
131,1058
132,1064
133,1070
134,1076
135,1080
136,1084
137,1090
138,1094
139,1098
140,1104
141,1108
142,1112
143,1118
144,1122
145,1130
146,1134
147,1138
148,1142
149,1146
150,1152
151,1156
152,1160
153,1164
154,1168
155,1174
156,1178
157,1186
158,1190
159,1194
160,1198
161,1202
162,1206
163,1210
164,1216
165,1220
166,1224
167,1228
168,1232
169,1240
170,1244
171,1248
172,1252
173,1256
174,1260
175,1264
176,1268
177,1272
178,1276
179,1280
180,1284
181,1292
182,1296
183,1300
184,1304
185,1308
186,1312
187,1316
188,1320
189,1324
190,1328
191,1332
192,1334
