Time,java.lang.StringBuffer Data
0,9706
1,20863
2,12026
3,15477
4,16281
5,2193
6,17564
7,16775
8,1296
9,16129
10,7417
11,5586
12,5935
13,17285
14,16839
15,4080
16,17258
17,9664
18,2871
19,13786
20,1780
21,12301
22,17257
23,12644
24,17661
25,26859
26,25367
27,2340
28,5301
29,2899
30,3739
31,19108
32,2700
33,3124
34,15244
35,17898
36,17624
37,17044
38,3576
39,2784
40,27145
41,12900
42,4723
43,10994
44,3462
45,2088
46,18456
47,7358
48,19521
49,17376
50,2372
51,18314
52,5711
53,6958
54,12042
55,27737
56,17487
57,12071
58,1971
59,2335
60,18404
61,11531
62,12701
63,19021
64,13207
65,6817
66,2959
67,3322
68,18409
69,10523
70,2855
71,16498
72,20173
73,19086
74,2929
75,8329
76,12949
77,18042
78,22969
79,19740
80,2650
81,5327
82,3559
83,13475
84,17649
85,13270
86,8769
87,16994
88,4820
89,14183
90,17418
91,5362
92,5106
93,13566
94,7550
95,2849
96,30333
97,32830
98,17176
99,16910
100,16647
101,2203
102,28274
103,20085
104,5047
105,12298
106,2776
107,17164
108,8798
109,11939
110,17312
111,13571
112,11196
113,18478
114,14176
115,11191
116,31209
117,12672
118,33750
119,19696
120,3714
121,29169
122,23713
123,12666
124,32791
125,26297
126,30533
127,18464
128,5655
129,18342
130,3724
131,28030
132,31427
133,19206
134,32452
135,14690
136,20010
137,5319
138,22498
139,32904
140,17451
141,32975
142,3753
143,20016
144,26830
145,13257
146,32743
147,8172
148,18529
149,33828
150,17617
151,18901
152,34110
153,17670
154,18653
155,34238
156,9721
157,9464
158,2106
159,16723
160,9164
161,21338
162,34906
163,2619
164,8680
165,27491
166,27503
167,33814
168,4131
169,17329
170,2142
171,8632
172,26326
173,18465
174,24229
175,34377
176,34318
177,3921
178,16690
179,5878
180,18438
181,21234
182,2344
183,11593
184,16894
185,12687
186,18076
187,19269
188,18001
189,19864
190,31605
191,19884
192,22281
193,34171
194,12757
195,17409
196,18015
197,13095
198,17415
199,18209
200,5465
201,9399
202,11419
203,4491
204,4574
205,35470
