Time,org.apache.hadoop.hdfs.protocol.Block Data
0,156
1,126
2,127
3,173
4,159
5,134
6,102
7,138
8,157
9,164
10,164
11,155
12,160
13,122
14,162
15,187
16,175
17,190
18,177
19,170
20,149
21,150
22,226
23,220
24,231
25,153
26,157
27,99
28,151
29,184
30,176
31,199
32,212
33,156
34,179
35,250
36,211
37,130
38,128
39,176
40,267
41,228
42,96
43,160
44,145
45,161
46,108
47,157
48,140
49,107
50,99
51,294
52,281
53,167
54,137
55,126
56,249
57,271
58,163
59,140
60,173
61,149
62,199
63,152
64,273
65,308
66,235
67,254
68,289
69,122
70,300
71,187
72,333
73,179
74,104
75,170
76,245
77,344
78,199
79,305
80,272
81,107
82,262
83,320
84,134
85,322
86,187
87,346
88,310
89,120
90,207
91,342
92,157
93,210
94,342
95,134
96,176
97,335
98,156
99,157
100,293
101,355
102,140
103,198
104,222
105,320
106,108
107,223
108,203
109,278
110,384
111,348
112,129
113,166
114,249
115,129
116,122
117,170
118,220
119,158
120,231
121,281
122,220
123,286
124,321
125,162
126,175
127,151
128,170
129,116
130,118
131,389
