Time,org.apache.hadoop.hdfs.protocol.HdfsLocatedFileStatus Data
0,195
1,105
2,169
3,173
4,196
5,195
6,171
7,149
8,144
9,196
10,193
11,94
12,196
13,175
14,167
15,111
16,196
17,101
18,198
19,206
20,215
21,63
22,200
23,59
24,197
25,199
26,185
27,198
28,284
29,124
30,65
31,248
32,249
33,196
34,188
35,145
36,172
37,216
38,199
39,88
40,221
41,87
42,98
43,224
44,168
45,173
46,72
47,199
48,79
49,171
50,316
51,225
52,43
53,166
54,114
55,199
56,344
57,226
58,145
59,141
60,196
61,97
62,176
63,199
64,91
65,193
66,174
67,120
68,149
69,149
70,367
71,370
72,199
73,174
74,173
75,285
76,328
77,91
78,100
79,193
80,171
81,74
82,199
83,192
84,83
85,211
86,192
87,368
88,101
89,372
90,292
91,288
92,349
93,141
94,371
95,221
96,392
97,199
98,146
99,199
100,277
101,393
102,221
103,372
104,53
105,278
106,146
107,342
108,376
109,174
110,394
111,200
112,377
113,98
114,373
115,152
116,222
117,395
118,196
119,222
120,395
121,174
122,199
123,397
124,151
125,173
126,173
127,176
128,340
129,400
130,171
131,225
132,244
133,376
134,50
135,169
136,149
137,272
138,221
139,348
140,447
141,399
142,50
143,172
144,117
145,196
146,314
147,83
148,173
149,98
150,199
151,257
152,196
153,249
154,365
155,225
156,345
157,394
158,114
159,198
160,200
161,113
162,197
163,199
164,120
165,151
166,45
167,94
168,422
