Time,[Ljavax.management.ObjectName$Property; Data
0,1440
1,1460
2,1470
3,1480
4,1490
5,1500
6,1508
7,1518
8,1533
9,1540
10,1550
11,1558
12,1568
13,1576
14,1584
15,1594
16,1602
17,1610
18,1620
19,1628
20,1641
21,1648
22,1656
23,1664
24,1672
25,1680
26,1688
27,1698
28,1706
29,1714
30,1720
31,1726
32,1739
33,1746
34,1752
35,1760
36,1768
37,1776
38,1784
39,1792
40,1798
41,1806
42,1814
43,1822
44,1833
45,1840
46,1846
47,1854
48,1860
49,1868
50,1876
51,1882
52,1890
53,1896
54,1904
55,1910
56,1921
57,1928
58,1936
59,1942
60,1948
61,1956
62,1962
63,1968
64,1976
65,1982
66,1990
67,1996
68,2005
69,2012
70,2018
71,2024
72,2030
73,2036
74,2047
75,2052
76,2058
77,2064
78,2070
79,2076
80,2084
81,2090
82,2096
83,2102
84,2108
85,2114
86,2125
87,2130
88,2136
89,2142
90,2148
91,2154
92,2160
93,2166
94,2172
95,2178
96,2182
97,2188
98,2199
99,2204
100,2210
101,2216
102,2220
103,2226
104,2232
105,2238
106,2244
107,2248
108,2254
109,2260
110,2269
111,2274
112,2280
113,2284
114,2290
115,2296
116,2300
117,2306
118,2310
119,2316
120,2322
121,2326
122,2335
123,2340
124,2344
125,2350
126,2354
127,2360
128,2366
129,2370
130,2376
131,2380
132,2384
133,2390
134,2399
135,2404
136,2408
137,2414
138,2418
139,2422
140,2428
141,2432
142,2438
143,2442
144,2446
145,2452
146,2459
147,2464
148,2468
149,2472
150,2478
151,2482
152,2486
153,2492
154,2496
155,2500
156,2506
157,2510
158,2518
159,2522
160,2526
161,2530
162,2534
163,2540
164,2544
165,2548
166,2552
167,2556
168,2562
169,2566
170,2574
171,2578
172,2582
173,2586
174,2590
175,2594
176,2598
177,2604
178,2608
179,2612
180,2616
181,2620
182,2628
183,2632
184,2636
185,2640
186,2644
187,2648
188,2652
189,2656
190,2660
191,2664
192,2668
193,2672
194,2680
195,2684
196,2688
197,2692
198,2696
199,2700
200,2704
201,2708
202,2712
203,2716
204,2720
205,2722
