Time,java.util.zip.ZStreamRef Data
0,332
1,416
2,439
3,415
4,410
5,371
6,439
7,431
8,94
9,262
10,211
11,270
12,227
13,254
14,282
15,246
16,286
17,264
18,222
19,239
20,139
21,292
22,311
23,311
24,315
25,363
26,355
27,237
28,266
29,237
30,373
31,369
32,196
33,280
34,381
35,372
36,380
37,379
38,344
39,304
40,408
41,337
42,332
43,324
44,156
45,248
46,332
47,292
48,344
49,308
50,248
51,336
52,268
53,312
54,272
55,344
56,232
57,312
58,268
59,288
60,377
61,284
62,316
63,372
64,316
65,336
66,240
67,304
68,288
69,328
70,340
71,400
72,432
73,428
74,208
75,367
76,363
77,387
78,435
79,443
80,291
81,340
82,343
83,359
84,379
85,375
86,330
87,298
88,322
89,302
90,298
91,316
92,325
93,324
94,272
95,432
96,432
97,300
98,304
99,264
100,392
101,368
102,296
103,272
104,242
105,336
106,316
107,276
108,332
109,292
110,356
111,354
112,280
113,400
114,338
115,448
116,388
117,300
118,432
119,324
120,430
121,508
122,472
123,560
124,464
125,404
126,460
127,380
128,492
129,560
130,468
131,348
132,446
133,348
134,408
135,472
136,357
137,468
138,334
139,416
140,489
141,392
142,384
143,448
144,524
145,600
146,472
147,524
148,596
149,476
150,512
151,592
152,448
153,465
154,404
155,460
156,460
157,528
158,596
159,416
160,444
161,512
162,548
163,576
164,416
165,465
166,332
167,360
168,432
169,440
170,460
171,500
172,508
173,352
174,372
175,384
176,410
177,420
178,400
179,412
180,444
181,436
182,476
183,468
184,472
185,504
186,528
187,508
188,524
189,548
190,417
191,445
192,440
193,424
194,444
195,464
196,404
197,413
198,408
199,400
200,380
201,596
