Time,org.postgresql.jdbc2.AbstractJdbc2Statement$StatementResultHandler Data
0,198
1,628
2,240
3,564
4,568
5,647
6,575
7,621
8,470
9,414
10,154
11,630
12,584
13,580
14,518
15,521
16,221
17,198
18,628
19,241
20,641
21,793
22,396
23,721
24,396
25,151
26,136
27,674
28,577
29,645
30,637
31,556
32,774
33,396
34,215
35,286
36,648
37,169
38,158
39,730
40,579
41,646
42,399
43,436
44,204
45,199
46,826
47,397
48,657
49,451
50,199
51,653
52,199
53,234
54,671
55,460
56,198
57,434
58,715
59,198
60,607
61,943
62,663
63,440
64,474
65,647
66,1011
67,734
68,345
69,376
70,573
71,227
72,500
73,573
74,266
75,546
76,634
77,268
78,508
79,199
80,393
81,1181
82,400
83,1184
84,398
85,639
86,631
87,570
88,1076
89,397
90,912
91,274
92,198
93,197
94,565
95,422
96,198
97,188
98,645
99,529
100,198
101,188
102,673
103,539
104,198
105,198
106,1164
107,396
108,220
109,1282
110,397
111,727
112,1072
113,396
114,1087
115,226
116,1262
117,396
118,772
119,396
120,1202
121,399
122,649
123,395
124,638
125,840
126,396
127,1211
128,397
129,654
130,1272
131,396
132,247
133,198
134,753
135,405
136,989
137,1257
138,396
139,630
140,1210
141,396
142,771
143,345
144,1191
145,227
146,1282
147,396
148,435
149,664
150,1294
151,396
152,626
153,663
154,1290
155,396
156,620
157,648
158,1273
159,396
160,488
161,445
162,609
163,514
164,997
165,1363
166,397
167,425
168,835
169,396
170,791
171,397
172,1267
173,397
174,557
175,488
176,762
177,396
178,654
179,1134
180,1293
181,397
182,1297
183,397
184,544
185,359
186,638
187,975
188,199
189,198
190,577
191,241
192,645
193,689
194,627
195,725
196,1133
197,397
198,723
199,1058
200,1267
201,397
202,472
203,637
204,698
205,448
206,618
207,644
208,302
209,499
210,198
211,1325
212,397
