Time,org.hibernate.mapping.SimpleValue Data
0,2354
1,110
2,2354
3,2354
4,110
5,2354
6,110
7,2354
8,110
9,2354
10,110
11,2354
12,2354
13,2354
14,110
15,2354
16,110
17,2354
18,110
19,2354
20,110
21,2354
22,110
23,2354
24,110
25,2354
26,110
27,2354
28,110
29,2354
30,110
31,2354
32,110
33,2354
34,110
35,2354
36,110
37,2354
38,110
39,2354
40,110
41,2354
42,110
43,2354
44,110
45,2354
46,110
47,2354
48,2354
49,2354
50,110
51,2354
52,110
53,2354
54,110
55,2354
56,110
57,2354
58,2354
59,110
60,2354
61,110
62,2354
63,2354
64,2354
65,110
66,2354
67,110
68,2354
69,110
70,2354
71,110
72,2354
73,2354
74,110
75,2354
76,110
77,2354
78,110
79,2354
80,110
81,2354
82,110
83,2354
84,2354
85,110
86,2354
87,2354
88,110
89,2354
90,110
91,2354
92,2354
93,110
94,2354
95,110
96,2354
97,110
98,2354
99,2354
100,110
101,2354
102,110
103,2354
104,110
105,2354
106,110
107,2354
108,2354
109,110
110,2354
111,110
112,2354
113,2354
114,110
115,2354
116,110
117,2354
118,110
119,2354
120,110
121,2354
122,2354
123,110
124,2354
125,110
126,2354
127,110
128,2354
129,2354
130,2354
131,110
132,2354
133,110
134,2354
135,110
136,2354
137,2354
138,2354
139,2354
140,110
141,2354
142,110
143,2354
144,110
145,2354
146,110
147,2354
148,110
149,2354
150,110
151,2354
152,110
153,2354
154,110
155,2354
156,110
157,2354
158,110
159,2354
160,110
161,2354
162,110
163,2354
164,110
165,2354
166,110
167,2354
168,110
169,2354
170,110
171,2354
172,2354
173,2354
174,110
175,2354
176,110
177,2354
178,110
179,2354
180,110
181,2354
182,2354
183,2354
184,110
185,2354
186,110
187,2354
188,110
189,2354
190,110
191,2354
192,110
193,2354
194,110
195,2354
196,110
197,2354
198,110
199,2354
200,110
201,2354
202,2354
203,110
204,2354
205,110
206,2354
207,2354
208,110
209,2354
210,2354
211,2354
212,110
213,2354
214,2354
215,2354
216,110
217,2354
218,2354
219,2354
220,2354
221,2354
222,110
223,2354
224,2354
225,110
226,2354
227,2354
228,2354
229,2354
230,2354
231,110
232,2354
233,2354
234,110
235,2354
236,2354
237,2354
238,110
239,2354
240,2354
241,110
242,2354
243,2354
244,2354
245,110
246,2354
247,2354
248,110
249,2354
250,2354
251,2354
252,110
253,2354
254,2354
255,2354
256,110
257,2354
258,2354
259,2354
260,110
261,2354
262,110
263,2354
264,110
265,2354
266,110
267,2354
268,110
269,2354
270,2354
271,2354
272,110
273,2354
274,110
275,2354
276,2354
277,2354
278,2354
279,110
280,2354
281,110
282,2354
283,110
284,2354
285,110
286,2354
287,2354
288,2354
289,2354
290,2354
291,2354
292,110
293,2354
294,110
295,2354
296,110
297,2354
298,2354
299,2354
300,110
301,2354
302,110
303,2354
304,110
305,2354
306,110
307,2354
308,2354
309,2354
310,2354
311,2354
312,2354
313,2354
314,2354
315,2354
316,110
317,2354
318,2354
319,2354
320,110
321,2354
322,110
323,2354
324,2354
325,110
326,2354
327,110
328,2354
329,110
330,2354
331,110
332,2354
333,110
334,2354
