Time,com.sun.org.apache.xerces.internal.impl.dtd.XMLElementDecl Data
0,169
1,243
2,254
3,206
4,212
5,93
6,303
7,255
8,249
9,222
10,129
11,243
12,291
13,161
14,267
15,252
16,92
17,170
18,92
19,242
20,255
21,295
22,284
23,375
24,348
25,88
26,182
27,387
28,153
29,121
30,328
31,315
32,278
33,239
34,153
35,416
36,246
37,136
38,125
39,189
40,351
41,129
42,387
43,231
44,326
45,222
46,161
47,382
48,339
49,217
50,81
51,340
52,181
53,270
54,410
55,182
56,234
57,93
58,351
59,127
60,127
61,216
62,348
63,400
64,116
65,174
66,266
67,338
68,360
69,460
70,80
71,137
72,255
73,255
74,270
75,210
76,279
77,245
78,267
79,266
80,237
81,198
82,182
83,80
84,477
85,441
86,303
87,254
88,209
89,500
90,396
91,233
92,166
93,291
94,186
95,147
96,327
97,243
98,161
99,399
100,255
101,143
102,406
103,247
104,525
105,384
106,141
107,488
108,456
109,279
110,501
111,396
112,562
113,351
114,309
115,141
116,432
117,598
118,340
119,525
120,258
121,483
122,360
123,493
124,242
125,502
126,162
127,375
128,589
129,270
130,537
131,168
132,364
133,574
134,243
135,376
136,574
137,242
138,339
139,562
140,234
141,205
142,241
143,457
144,622
145,80
146,186
147,420
148,433
149,493
150,104
151,207
152,149
153,384
154,352
155,413
156,598
157,608
158,104
159,182
160,209
161,279
162,359
163,93
164,188
165,227
166,294
167,311
168,363
169,291
170,387
171,441
172,436
173,432
174,502
175,278
176,289
177,324
178,290
179,255
180,315
181,234
182,173
183,162
184,165
185,125
186,671
