Time,flexjson.BeanProperty Data
0,155
1,708
2,248
3,709
4,279
5,709
6,279
7,709
8,279
9,709
10,248
11,709
12,279
13,709
14,279
15,709
16,217
17,709
18,279
19,709
20,248
21,709
22,248
23,709
24,279
25,709
26,279
27,709
28,279
29,709
30,248
31,709
32,279
33,709
34,248
35,709
36,248
37,709
38,279
39,709
40,217
41,709
42,279
43,709
44,279
45,709
46,279
47,709
48,279
49,709
50,310
51,709
52,310
53,709
54,248
55,709
56,279
57,709
58,248
59,709
60,248
61,709
62,279
63,709
64,217
65,709
66,248
67,709
68,279
69,709
70,279
71,709
72,279
73,709
74,279
75,709
76,248
77,709
78,248
79,709
80,310
81,709
82,279
83,709
84,248
85,709
86,279
87,709
88,217
89,709
90,248
91,709
92,279
93,709
94,279
95,709
96,279
97,709
98,279
99,709
100,248
101,709
102,279
103,709
104,248
105,709
106,248
107,709
108,279
109,709
110,310
111,709
112,248
113,709
114,279
115,709
116,248
117,709
118,248
119,709
120,279
121,709
122,279
123,709
124,279
125,709
126,279
127,709
128,279
129,709
130,248
131,709
132,248
133,709
134,248
135,709
136,248
137,709
138,279
139,709
140,248
141,709
142,279
143,709
144,279
145,709
146,279
147,709
148,217
149,709
150,248
151,709
152,279
153,709
154,279
155,709
156,279
157,709
158,279
159,709
160,248
161,709
162,248
163,709
164,248
165,709
166,279
167,709
168,279
169,709
170,279
171,709
172,217
173,709
174,248
175,709
176,217
177,709
178,248
179,709
180,248
181,709
182,217
183,709
184,217
185,709
186,248
187,709
188,217
189,709
190,217
191,709
192,279
193,709
194,279
195,709
196,248
197,709
198,279
199,709
200,279
201,709
202,248
203,709
204,310
205,709
206,279
207,709
208,248
209,709
210,279
211,709
212,248
213,709
214,279
215,709
216,248
217,709
218,279
219,709
220,248
221,709
222,279
223,709
224,279
225,709
226,279
227,709
228,279
229,709
230,279
231,709
232,310
233,709
234,279
235,709
236,310
237,709
238,279
239,709
240,248
241,709
242,310
243,709
244,248
245,709
246,279
247,709
248,310
249,709
250,310
251,709
252,310
253,709
254,279
255,709
256,248
257,709
258,279
259,709
260,248
261,709
262,310
263,709
264,310
265,709
266,279
267,709
268,279
269,709
270,279
271,709
272,279
273,709
274,248
275,709
276,279
277,709
278,310
279,709
280,279
281,709
282,310
283,709
284,248
285,709
286,310
287,709
288,279
289,709
290,279
291,709
292,279
293,709
294,248
295,709
296,279
297,709
298,310
299,709
300,279
301,709
302,279
303,709
304,310
305,709
306,279
307,709
308,279
309,709
310,310
311,709
312,279
313,709
314,248
315,709
316,248
317,709
318,279
319,709
320,248
321,709
322,279
323,709
324,310
325,709
326,248
327,709
328,248
329,709
330,310
331,709
332,310
333,709
334,310
335,709
336,248
337,709
338,279
339,709
340,248
341,709
342,248
343,709
344,310
345,709
346,279
347,709
348,279
349,709
350,310
351,709
352,310
353,709
354,248
355,709
356,279
357,709
358,248
359,709
360,279
361,709
362,279
363,709
364,248
365,709
366,279
367,709
368,279
369,709
370,279
371,709
372,279
373,709
374,279
375,709
376,279
377,709
378,279
379,709
380,310
381,709
382,279
383,709
384,279
385,709
386,310
387,709
388,279
389,709
390,279
391,709
392,279
393,709
394,279
395,709
396,279
397,709
398,279
399,709
400,248
401,709
402,248
403,709
404,279
405,709
406,248
407,709
408,248
409,709
410,310
