Time,org.apache.hadoop.hdfs.protocol.FsPermissionExtension Data
0,195
1,169
2,173
3,196
4,195
5,171
6,149
7,144
8,196
9,193
10,196
11,175
12,167
13,196
14,198
15,206
16,215
17,200
18,197
19,199
20,185
21,198
22,284
23,248
24,249
25,196
26,188
27,145
28,172
29,216
30,199
31,221
32,224
33,168
34,173
35,72
36,199
37,171
38,316
39,225
40,172
41,205
42,350
43,232
44,151
45,202
46,176
47,199
48,193
49,174
50,167
51,149
52,367
53,370
54,199
55,174
56,173
57,285
58,334
59,193
60,171
61,199
62,192
63,211
64,192
65,368
66,372
67,292
68,288
69,349
70,371
71,221
72,392
73,199
74,146
75,199
76,277
77,393
78,221
79,372
80,278
81,146
82,342
83,376
84,174
85,394
86,200
87,377
88,373
89,152
90,222
91,395
92,196
93,222
94,395
95,174
96,199
97,397
98,151
99,173
100,173
101,176
102,340
103,400
104,171
105,225
106,244
107,376
108,169
109,149
110,272
111,221
112,348
113,447
114,399
115,172
116,196
117,314
118,173
119,199
120,257
121,196
122,249
123,365
124,225
125,345
126,394
127,198
128,200
129,197
130,199
131,151
132,422
