Time,org.apache.hadoop.fs.FileSystem$Statistics$StatisticsData Data
0,105
1,113
2,123
3,133
4,141
5,151
6,161
7,169
8,179
9,189
10,197
11,207
12,217
13,225
14,235
15,245
16,253
17,263
18,273
19,281
20,291
21,301
22,309
23,319
24,329
25,339
26,343
27,351
28,361
29,371
30,379
31,389
32,399
33,409
34,417
35,427
36,437
37,445
38,455
39,465
40,473
41,483
42,493
43,501
44,511
45,521
46,529
47,539
48,549
49,557
50,567
51,577
52,585
53,595
54,605
55,613
56,623
57,633
58,641
59,651
60,661
61,669
62,679
63,687
64,697
65,707
66,715
67,725
68,735
69,743
70,753
71,763
72,771
73,781
74,791
75,799
76,809
77,819
78,827
79,837
80,847
81,855
82,865
83,875
84,883
85,893
86,903
87,912
88,921
89,931
90,941
91,949
92,959
93,969
94,977
95,987
96,997
97,1005
98,1015
99,1025
100,1033
101,1043
102,1053
103,1061
104,1071
105,1081
106,1089
107,1099
108,1109
109,1117
110,1127
111,1137
112,1147
113,1155
114,1165
115,1175
116,1183
117,1193
118,1203
119,1211
120,1221
121,1231
122,1239
123,1249
124,1259
125,1267
126,1277
127,1287
128,1295
129,1305
130,1315
131,1325
132,1333
133,1343
134,1353
135,1361
136,1371
137,1381
138,1389
139,1399
140,1409
141,1417
142,1427
143,1437
144,1445
145,1455
146,1465
147,1473
148,1483
149,1493
150,1501
151,1511
152,1521
153,1529
154,1539
155,1549
156,1557
157,1567
158,1577
159,1585
160,1595
161,1605
162,1613
163,1623
164,1633
165,1643
166,1651
167,1661
168,1671
169,1679
170,1689
171,1699
172,1707
173,1717
174,1727
175,1735
176,1745
177,1755
178,1763
179,1773
180,1783
181,1791
182,1801
183,1811
184,1819
185,1829
186,1839
187,1847
188,1857
189,1867
190,1875
191,1885
192,1895
193,1903
194,1913
195,1923
196,1931
197,1941
198,1949
199,1959
200,1969
201,1977
