Time,com.sun.org.apache.xerces.internal.dom.DeferredProcessingInstructionImpl Data
0,123
1,140
2,156
3,120
4,164
5,152
6,140
7,156
8,176
9,188
10,164
11,148
12,152
13,156
14,184
15,168
16,180
17,180
18,176
19,140
20,196
21,188
22,191
23,132
24,156
25,212
