Time,org.apache.hadoop.hdfs.protocol.datatransfer.PacketReceiver Data
0,91
1,78
2,67
3,75
4,80
5,77
6,82
7,103
8,86
9,95
10,108
11,156
12,161
13,154
14,160
15,130
16,159
17,159
18,135
19,155
20,152
21,98
22,112
23,112
24,132
25,132
26,130
27,125
