Time,java.util.concurrent.locks.ReentrantReadWriteLock Data
0,1352
1,1354
2,1354
3,1353
4,1353
5,1353
6,1354
7,1354
8,1352
9,1353
10,1353
11,1353
12,1353
13,1354
14,1354
15,1352
16,1354
17,1354
18,1352
19,1353
20,1352
21,1353
22,1354
23,1353
24,1354
25,1354
26,1354
27,1352
28,1352
29,1352
30,1353
31,1354
32,1353
33,1352
34,1354
35,1354
36,1353
37,1354
38,1353
39,1352
40,1354
41,1353
42,1352
43,1352
44,1353
45,1352
46,1354
47,1353
48,1354
49,1354
50,1352
51,1353
52,1353
53,1354
54,1352
55,1354
56,1354
57,1352
58,1352
59,1353
60,1355
61,1352
62,1353
63,1355
64,1353
65,1354
66,1352
67,1353
68,1354
69,1352
70,1353
71,1353
72,1354
73,1355
74,1352
75,1353
76,1353
77,1354
78,1355
79,1355
80,1352
81,1353
82,1353
83,1353
84,1354
85,1353
86,1354
87,1354
88,1353
89,1354
90,1353
91,1353
92,1353
93,1353
94,1353
95,1352
96,1355
97,1355
98,1354
99,1353
100,1353
101,1352
102,1354
103,1355
104,1353
105,1354
106,1352
107,1354
108,1354
109,1352
110,1354
111,1354
112,1352
113,1354
114,1354
115,1352
116,1355
117,1353
118,1355
119,1354
120,1353
121,1354
122,1355
123,1353
124,1355
125,1354
126,1356
127,1354
128,1353
129,1354
130,1353
131,1354
132,1356
133,1355
134,1355
135,1353
136,1355
137,1353
138,1355
139,1356
140,1353
141,1356
142,1353
143,1354
144,1356
145,1353
146,1355
147,1353
148,1355
149,1356
150,1354
151,1355
152,1356
153,1353
154,1354
155,1356
156,1353
157,1354
158,1353
159,1353
160,1354
161,1355
162,1356
163,1352
164,1354
165,1354
166,1355
167,1356
168,1352
169,1354
170,1353
171,1353
172,1354
173,1355
174,1355
175,1356
176,1356
177,1352
178,1353
179,1353
180,1354
181,1354
182,1352
183,1352
184,1353
185,1353
186,1354
187,1354
188,1354
189,1354
190,1355
191,1355
192,1355
193,1356
194,1353
195,1354
196,1354
197,1353
198,1354
199,1354
200,1353
201,1353
202,1353
203,1353
204,1352
205,1357
