Time,java.io.FileDescriptor Data
0,634
1,995
2,993
3,957
4,959
5,797
6,1037
7,998
8,260
9,714
10,627
11,746
12,664
13,737
14,775
15,697
16,781
17,762
18,563
19,687
20,354
21,781
22,833
23,828
24,849
25,1021
26,976
27,583
28,734
29,599
30,757
31,966
32,528
33,759
34,1021
35,1004
36,1015
37,1061
38,923
39,778
40,1151
41,879
42,903
43,813
44,480
45,740
46,1040
47,821
48,1078
49,902
50,671
51,964
52,846
53,941
54,836
55,1093
56,626
57,800
58,701
59,681
60,1016
61,756
62,846
63,962
64,807
65,882
66,678
67,757
68,872
69,958
70,906
71,1094
72,1277
73,1197
74,621
75,1013
76,1020
77,1079
78,1257
79,1271
80,803
81,963
82,946
83,1010
84,1056
85,1046
86,480
87,980
88,872
89,902
90,887
91,859
92,892
93,890
94,872
95,716
96,1295
97,1272
98,533
99,819
100,872
101,688
102,1081
103,1040
104,806
105,758
106,677
107,881
108,839
109,747
110,562
111,845
112,761
113,934
114,953
115,738
116,1138
117,923
118,1302
119,1124
120,828
121,1276
122,879
123,1144
124,1343
125,1247
126,1498
127,1225
128,1092
129,1204
130,980
131,1300
132,1507
133,1237
134,829
135,930
136,1171
137,930
138,1082
139,1296
140,970
141,1276
142,839
143,1111
144,1298
145,990
146,1077
147,1090
148,1319
149,1568
150,1224
151,1324
152,1565
153,1217
154,1290
155,1546
156,1162
157,1164
158,961
159,1172
160,1212
161,1374
162,1602
163,998
164,1173
165,1354
166,1478
167,1560
168,1060
169,1217
170,850
171,1014
172,1238
173,1197
174,1323
175,1447
176,1439
177,994
178,1032
179,1067
180,1136
181,1223
182,982
183,1098
184,1175
185,1090
186,1242
187,1265
188,1214
189,1390
190,1422
191,1331
192,1439
193,1577
194,1033
195,1108
196,1122
197,1062
198,1101
199,1202
200,1045
201,1044
202,1010
203,1012
204,977
205,1507
