Time,javax.xml.namespace.QName Data
0,49772
1,110081
2,110079
3,110080
4,96581
5,96575
6,110083
7,96583
8,96563
9,110072
10,110068
11,110069
12,110065
13,110071
14,110072
15,110065
16,96574
17,110072
18,107041
19,110067
20,96564
21,110066
22,110071
23,110069
24,110072
25,123572
26,110073
27,96563
28,110064
29,96563
30,96568
31,110076
32,110064
33,110064
34,110073
35,110073
36,110072
37,96571
38,96568
39,96567
40,110073
41,110066
42,110064
43,96564
44,110066
45,96563
46,110073
47,110064
48,123574
49,96572
50,96563
51,110073
52,110067
53,110071
54,110065
55,123573
56,110073
57,110066
58,96563
59,96564
60,110074
61,110062
62,110068
63,110075
64,96569
65,110071
66,96563
67,96564
68,123572
69,96563
70,96565
71,110070
72,110075
73,110074
74,110063
75,96571
76,110067
77,110073
78,110078
79,120630
80,96566
81,110064
82,96566
83,110066
84,96573
85,110067
86,110069
87,96573
88,110068
89,110071
90,110072
91,110068
92,110066
93,110066
94,96568
95,96564
96,123579
97,110079
98,110071
99,110071
100,110067
101,96564
102,123576
103,110076
104,110067
105,110065
106,96566
107,110071
108,110069
109,110063
110,110072
111,110067
112,110063
113,110076
114,110070
115,110064
116,110078
117,110066
118,123582
119,110074
120,96565
121,123575
122,110080
123,110067
124,123581
125,110075
126,123581
127,110073
128,110067
129,110072
130,110064
131,123574
132,123583
133,110074
134,123580
135,96569
136,123577
137,110068
138,110077
139,123581
140,110071
141,110082
142,96569
143,123574
144,123585
145,110067
146,123581
147,96570
148,110075
149,123583
150,110071
151,110075
152,123583
153,110070
154,110073
155,123581
156,110068
157,110071
158,96563
159,110069
160,110072
161,123577
162,137083
163,96564
164,110069
165,123573
166,110076
167,123581
168,110064
169,96571
170,96564
171,110069
172,110073
173,110074
174,123579
175,123583
176,123583
177,110064
178,96569
179,110067
180,110072
181,110076
182,96565
183,110064
184,110068
185,110069
186,110073
187,123572
188,110071
189,123574
190,110078
191,110078
192,123579
193,123580
194,110068
195,110072
196,110076
197,110068
198,110070
199,110073
200,110067
201,110070
202,96566
203,110066
204,110064
205,123587
