Time,org.apache.hadoop.ipc.ProtobufRpcEngine$Invoker Data
0,141
1,147
2,158
3,166
4,160
5,192
6,165
7,209
8,211
9,197
10,147
11,201
12,226
13,174
14,205
15,217
16,234
17,244
18,147
19,217
20,175
21,191
22,233
23,236
24,247
25,220
26,152
27,244
28,153
29,244
30,246
31,193
32,255
33,233
34,148
35,200
36,255
37,254
38,166
39,145
40,202
41,163
42,201
43,236
44,136
45,134
46,275
