Time,java.util.LinkedHashMap$ValueIterator Data
0,534
1,1152
2,711
3,1093
4,1044
5,98
6,1271
7,1136
8,1186
9,608
10,731
11,334
12,1155
13,1210
14,366
15,1163
16,831
17,130
18,991
19,96
20,822
21,1174
22,818
23,1183
24,1750
25,1630
26,318
27,172
28,265
29,1378
30,206
31,189
32,1243
33,1250
34,1222
35,1050
36,200
37,90
38,1871
39,714
40,478
41,371
42,292
43,1340
44,345
45,1459
46,1092
47,1271
48,557
49,752
50,576
51,1736
52,1297
53,959
54,1298
55,671
56,768
57,1375
58,966
59,770
60,1364
61,446
62,98
63,1109
64,1683
65,1366
66,207
67,670
68,1018
69,1273
70,1770
71,1527
72,82
73,512
74,127
75,947
76,1136
77,764
78,769
79,1136
80,627
81,1134
82,1201
83,437
84,542
85,997
86,519
87,2309
88,2212
89,1223
90,1176
91,1046
92,2222
93,1697
94,611
95,594
96,1191
97,680
98,547
99,1270
100,1076
101,569
102,1416
103,1107
104,543
105,2157
106,717
107,2433
108,1539
109,143
110,2198
111,1944
112,743
113,2374
114,1712
115,2428
116,1314
117,575
118,1224
119,180
120,1846
121,2502
122,1298
123,2424
124,694
125,1582
126,603
127,1684
128,2215
129,1154
130,2331
131,209
132,1578
133,2279
134,764
135,2452
136,649
137,1347
138,2520
139,1153
140,1367
141,2520
142,1147
143,1273
144,2445
145,784
146,781
147,1057
148,827
149,1888
150,2659
151,684
152,1816
153,1784
154,2337
155,186
156,1016
157,667
158,1689
159,1319
160,1914
161,2544
162,2526
163,186
164,984
165,684
166,1223
167,1726
168,98
169,618
170,1073
171,818
172,1231
173,1374
174,1193
175,1456
176,2223
177,1477
178,1921
179,2377
180,1045
181,1183
182,1293
183,1064
184,1125
185,1233
186,620
187,772
188,534
189,282
190,356
191,2673
