Time,com.sun.org.apache.xerces.internal.impl.dv.dtd.DTDDVFactoryImpl Data
0,352
1,375
2,365
3,425
4,465
5,364
6,490
7,453
8,421
9,466
10,527
11,563
12,490
13,448
14,458
15,467
16,554
17,502
18,539
19,539
20,527
21,422
22,587
23,458
24,563
25,573
26,401
27,467
28,636
