Time,sun.reflect.NativeMethodAccessorImpl Data
0,894
1,1170
2,1170
3,1170
4,1170
5,1170
6,1170
7,1170
8,765
9,765
10,765
11,765
12,765
13,765
14,765
15,765
16,765
17,765
18,765
19,765
20,757
21,760
22,760
23,760
24,760
25,760
26,760
27,760
28,760
29,760
30,762
31,762
32,762
33,762
34,762
35,762
36,762
37,762
38,762
39,762
40,762
41,762
42,762
43,762
44,758
45,758
46,758
47,758
48,758
49,758
50,758
51,758
52,758
53,758
54,758
55,758
56,758
57,758
58,758
59,758
60,758
61,758
62,758
63,758
64,758
65,758
66,758
67,758
68,758
69,758
70,758
71,758
72,758
73,758
74,758
75,758
76,758
77,758
78,758
79,758
80,758
81,758
82,758
83,758
84,758
85,758
86,758
87,758
88,758
89,758
90,758
91,758
92,758
93,758
94,758
95,758
96,758
97,758
98,758
99,758
100,758
101,758
102,758
103,758
104,758
105,758
106,758
107,758
108,758
109,758
110,758
111,758
112,758
113,758
114,758
115,758
116,758
117,758
118,758
119,758
120,758
121,758
122,758
123,758
124,758
125,758
126,758
127,758
128,758
129,758
130,758
131,758
132,758
133,758
134,758
135,758
136,758
137,758
138,758
139,758
140,758
141,758
142,758
143,758
144,758
145,758
146,758
147,758
148,758
149,758
150,758
151,758
152,758
153,758
154,758
155,758
156,759
157,759
158,759
159,759
160,759
161,759
162,759
163,759
164,759
165,759
166,759
167,759
168,759
169,759
170,758
171,758
172,758
173,758
174,758
175,758
176,758
177,758
178,758
179,758
180,758
181,758
182,758
183,758
184,758
185,758
186,758
187,758
188,758
189,758
190,758
191,758
192,758
193,758
194,758
195,758
196,758
197,758
198,758
199,758
200,758
201,759
202,759
203,759
204,759
205,759
