Time,java.util.jar.JarFile$JarFileEntry Data
0,228
1,270
2,263
3,250
4,255
5,205
6,289
7,272
8,90
9,164
10,114
11,157
12,118
13,170
14,182
15,131
16,178
17,166
18,102
19,138
20,91
21,236
22,161
23,167
24,168
25,204
26,192
27,75
28,90
29,91
30,122
31,208
32,113
33,102
34,189
35,182
36,169
37,154
38,113
39,82
40,221
41,151
42,108
43,104
44,127
45,79
46,195
47,106
48,208
49,152
50,77
51,186
52,98
53,144
54,116
55,207
56,190
57,139
58,77
59,89
60,192
61,127
62,159
63,216
64,130
65,150
66,74
67,92
68,194
69,105
70,105
71,141
72,199
73,215
74,99
75,131
76,159
77,189
78,203
79,236
80,86
81,98
82,108
83,156
84,161
85,157
86,141
87,169
88,149
89,161
90,163
91,148
92,135
93,128
94,96
95,87
96,247
97,236
98,178
99,159
100,142
101,82
102,250
103,215
104,145
105,120
106,78
107,169
108,130
109,111
110,186
111,151
112,119
113,214
114,155
115,108
116,220
117,150
118,266
119,212
120,110
121,250
122,238
123,164
124,256
125,212
126,278
127,194
128,103
129,179
130,109
131,229
132,292
133,192
134,266
135,156
136,244
137,107
138,203
139,256
140,155
141,261
142,117
143,203
144,290
145,159
146,272
147,126
148,202
149,286
150,157
151,206
152,286
153,155
154,190
155,281
156,114
157,150
158,79
159,140
160,151
161,239
162,304
163,87
164,130
165,221
166,229
167,256
168,95
169,143
170,79
171,116
172,208
173,196
174,220
175,296
176,300
177,95
178,132
179,140
180,169
181,203
182,93
183,128
184,148
185,167
186,180
187,200
188,171
189,208
190,232
191,227
192,228
193,261
194,165
195,171
196,185
197,168
198,158
199,182
200,147
201,126
202,120
203,117
204,106
205,325
