Time,org.hibernate.hql.ast.tree.SelectExpressionImpl Data
0,269
1,315
2,347
3,387
4,427
5,459
6,44
7,499
8,538
9,420
10,44
11,460
12,500
13,532
14,572
15,612
16,644
17,684
18,723
19,756
20,796
21,44
22,836
23,533
24,44
25,573
26,613
27,645
28,685
29,725
30,764
31,797
32,44
33,837
34,869
35,44
36,885
37,925
38,517
39,557
40,44
41,589
42,629
43,669
44,708
45,741
46,781
47,44
48,820
49,853
50,893
51,932
52,44
53,533
54,573
55,44
56,612
57,645
58,685
59,725
60,757
61,44
62,797
63,837
64,869
65,909
66,949
67,525
68,565
69,605
70,44
71,637
72,44
73,677
74,717
75,756
76,789
77,828
78,861
79,900
80,44
81,933
82,44
83,533
84,572
85,605
86,44
87,645
88,684
89,717
90,510
91,44
92,542
93,582
94,622
95,661
96,694
97,734
98,44
99,774
100,806
101,44
102,846
103,885
104,918
105,512
106,551
107,584
108,624
109,664
110,696
111,736
112,776
113,808
114,848
115,44
116,888
117,927
118,525
119,565
120,605
121,637
122,44
123,677
124,716
125,749
126,789
127,829
128,44
129,861
130,901
131,941
132,518
133,558
134,598
135,630
136,670
137,710
138,749
139,782
140,822
141,854
142,894
143,44
144,934
145,518
146,558
147,598
148,637
149,670
150,710
151,750
152,782
153,822
154,862
155,894
156,934
157,525
158,564
159,597
160,637
161,676
162,709
163,749
164,788
165,821
166,861
167,893
168,933
169,533
170,565
171,605
172,645
173,685
174,717
175,757
176,797
177,829
178,869
179,909
180,941
181,526
182,44
183,566
184,598
185,638
186,678
187,710
188,44
189,750
190,790
191,829
192,862
193,902
194,44
195,941
196,526
197,44
198,566
199,605
200,638
201,678
202,717
203,750
204,790
205,44
206,829
207,862
208,902
209,942
210,525
211,44
212,565
213,605
214,637
215,677
216,717
217,749
218,789
219,828
220,861
221,901
222,941
223,526
224,566
225,606
226,638
227,678
228,718
229,750
230,790
231,829
232,862
233,902
234,934
