Time,org.apache.hadoop.io.DataOutputBuffer Data
0,345
1,236
2,276
3,291
4,372
5,349
6,301
7,237
8,292
9,352
10,355
11,186
12,359
13,347
14,250
15,213
16,355
17,243
18,367
19,421
20,385
21,92
22,422
23,112
24,391
25,383
26,346
27,345
28,503
29,255
30,125
31,118
32,468
33,492
34,349
35,370
36,220
37,329
38,417
39,390
40,163
41,437
42,147
43,233
44,470
45,266
46,343
47,101
48,400
49,108
50,88
51,287
52,558
53,472
54,97
55,313
56,243
57,395
58,602
59,502
60,216
61,95
62,279
63,356
64,222
65,330
66,365
67,221
68,346
69,316
70,150
71,255
72,234
73,233
74,657
75,646
76,378
77,314
78,292
79,543
80,603
81,217
82,204
83,354
84,308
85,391
86,329
87,142
88,450
89,334
90,627
91,220
92,691
93,549
94,560
95,650
96,285
97,679
98,424
99,738
100,396
101,228
102,386
103,537
104,761
105,438
106,685
107,161
108,584
109,235
110,590
111,725
112,307
113,725
114,109
115,416
116,770
117,230
118,704
119,274
120,452
121,759
122,351
123,457
124,758
125,305
126,394
127,755
128,251
129,342
130,285
131,353
132,645
133,798
134,308
135,443
136,491
137,726
138,102
139,289
140,246
141,488
142,444
143,631
144,847
145,789
146,102
147,272
148,242
149,367
150,552
151,152
152,298
153,239
154,385
155,482
156,355
157,492
158,630
159,489
160,633
161,724
162,238
163,369
164,395
165,245
166,347
167,386
168,270
169,265
170,169
171,866
