Time,java.util.HashMap$ValueIterator Data
0,2526
1,4164
2,2774
3,3042
4,3063
5,1015
6,5175
7,3585
8,3206
9,1606
10,3368
11,1931
12,4167
13,4535
14,2163
15,3608
16,4138
17,1103
18,1958
19,1009
20,2738
21,4162
22,3767
23,4196
24,6290
25,5120
26,1920
27,1589
28,6217
29,1643
30,1181
31,4524
32,4699
33,4203
34,3036
35,2096
36,1098
37,5754
38,3210
39,2086
40,386
41,2203
42,485
43,5218
44,2007
45,6357
46,3569
47,4707
48,1402
49,3427
50,2173
51,6367
52,4731
53,3211
54,995
55,5209
56,1153
57,3729
58,6214
59,2308
60,3907
61,516
62,5341
63,554
64,1020
65,2674
66,5845
67,5717
68,1649
69,2514
70,3726
71,4712
72,6054
73,6861
74,1022
75,1275
76,1522
77,2591
78,3584
79,3244
80,3176
81,3587
82,3508
83,3476
84,4508
85,3388
86,2549
87,2397
88,917
89,517
90,7646
91,7212
92,4677
93,4168
94,3063
95,510
96,7408
97,5797
98,3516
99,2679
100,598
101,4480
102,2909
103,1207
104,5182
105,2945
106,1689
107,6698
108,3450
109,1706
110,6639
111,2742
112,7944
113,5349
114,1508
115,7403
116,7221
117,3241
118,8372
119,5755
120,9143
121,5197
122,1874
123,5153
124,1619
125,6414
126,9199
127,5209
128,8861
129,3772
130,7398
131,1905
132,5455
133,8825
134,3688
135,8235
136,2122
137,6600
138,9514
139,3242
140,9366
141,2029
142,5720
143,9880
144,4160
145,5719
146,9405
147,3664
148,4712
149,9348
150,2353
151,3933
152,487
153,2682
154,4120
155,7434
156,11019
157,980
158,2921
159,6382
160,7225
161,8843
162,1172
163,3500
164,502
165,2135
166,5712
167,5686
168,7309
169,9910
170,10369
171,1643
172,2520
173,3226
174,4674
175,5921
176,544
177,2197
178,3558
179,3290
180,4700
181,5322
182,4167
183,6825
184,7085
185,7297
186,7588
187,8842
188,3754
189,4196
190,5301
191,4195
192,3662
193,4700
194,3109
195,2728
196,2053
197,2178
198,1252
199,11419
