Time,[Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$State; Data
0,220
1,269
2,221
3,215
4,188
5,257
6,233
7,218
8,208
9,221
10,261
11,250
12,341
13,314
14,148
15,353
16,294
17,281
18,244
19,382
20,212
21,155
22,317
23,353
24,292
25,348
26,305
27,306
28,236
29,376
30,200
31,317
32,314
33,366
34,232
35,304
36,326
37,426
38,221
39,221
40,236
41,245
42,211
43,233
44,232
45,203
46,443
47,407
48,269
49,220
50,466
51,362
52,199
53,257
54,293
55,209
56,365
57,221
58,372
59,213
60,491
61,350
62,454
63,422
64,245
65,467
66,362
67,528
68,317
69,275
70,398
71,564
72,306
73,491
74,224
75,449
76,326
77,459
78,468
79,341
80,555
81,236
82,503
83,330
84,540
85,342
86,540
87,305
88,528
89,207
90,423
91,588
92,386
93,399
94,459
95,350
96,318
97,379
98,564
99,574
100,245
101,325
102,260
103,277
104,329
105,257
106,353
107,407
108,402
109,398
110,468
111,244
112,255
113,290
114,256
115,221
116,281
117,200
118,637
