Time,org.apache.hadoop.io.DataOutputBuffer$Buffer Data
0,345
1,236
2,276
3,291
4,372
5,349
6,301
7,237
8,292
9,352
10,355
11,186
12,359
13,347
14,250
15,213
16,355
17,243
18,367
19,421
20,385
21,422
22,391
23,383
24,346
25,345
26,503
27,255
28,468
29,492
30,349
31,370
32,220
33,329
34,417
35,390
36,437
37,233
38,470
39,266
40,343
41,101
42,400
43,287
44,558
45,472
46,313
47,243
48,395
49,602
50,502
51,216
52,279
53,356
54,222
55,330
56,365
57,221
58,346
59,316
60,255
61,234
62,233
63,657
64,646
65,378
66,314
67,292
68,543
69,603
70,217
71,204
72,354
73,308
74,391
75,329
76,450
77,334
78,627
79,220
80,691
81,549
82,560
83,650
84,285
85,679
86,424
87,738
88,396
89,228
90,386
91,537
92,761
93,438
94,685
95,584
96,235
97,590
98,725
99,307
100,725
101,416
102,770
103,230
104,704
105,274
106,452
107,759
108,351
109,457
110,758
111,305
112,394
113,755
114,251
115,342
116,285
117,353
118,645
119,798
120,308
121,443
122,491
123,726
124,289
125,246
126,488
127,444
128,631
129,847
130,789
131,272
132,242
133,367
134,552
135,298
136,239
137,385
138,482
139,355
140,492
141,630
142,489
143,633
144,724
145,238
146,369
147,395
148,245
149,347
150,386
151,270
152,265
153,169
154,866
