Time,org.codehaus.jackson.map.introspect.MemberKey Data
0,764
1,1072
2,884
3,1048
4,1000
5,114
6,1192
7,1096
8,1120
9,326
10,518
11,1072
12,1168
13,186
14,1120
15,542
16,114
17,976
18,114
19,812
20,1096
21,956
22,1096
23,1838
24,1794
25,282
26,1288
27,186
28,1216
29,1168
30,1144
31,1024
32,186
33,1818
34,860
35,692
36,258
37,1216
38,1288
39,1048
40,1192
41,326
42,518
43,764
44,1790
45,1216
46,812
47,1216
48,740
49,908
50,1288
51,1000
52,542
53,1240
54,644
55,1048
56,1428
57,1288
58,138
59,422
60,860
61,1192
62,1452
63,1408
64,326
65,138
66,836
67,1096
68,908
69,446
70,1096
71,306
72,1120
73,1120
74,306
75,210
76,1000
77,302
78,2198
79,2078
80,1144
81,1096
82,1000
83,1986
84,1264
85,282
86,712
87,1168
88,446
89,692
90,1192
91,1072
92,716
93,1336
94,1096
95,716
96,2054
97,860
98,2246
99,1240
100,162
101,1962
102,1596
103,884
104,2170
105,1842
106,2318
107,1240
108,350
109,1144
110,162
111,1890
112,2390
113,1216
114,2246
115,860
116,1408
117,374
118,1452
119,1620
120,1072
121,2198
122,186
123,1288
124,1812
125,908
126,2270
127,398
128,1264
129,2342
130,1072
131,1288
132,2342
133,1072
134,1192
135,2270
136,350
137,542
138,976
139,542
140,1596
141,2390
142,446
143,1866
144,1914
145,2170
146,1024
147,374
148,1794
149,1240
150,1524
151,2318
152,2342
153,952
154,494
155,1144
156,1452
157,114
158,764
159,1024
160,956
161,1144
162,1216
163,1120
164,1288
165,2126
166,1360
167,1596
168,2198
169,884
170,1096
171,1168
172,932
173,1048
174,1144
175,282
176,422
177,764
178,210
179,2486
