Time,java.util.regex.Pattern$Single Data
0,411
1,468
2,452
3,448
4,449
5,409
6,475
7,461
8,393
9,452
10,435
11,446
12,420
13,471
14,465
15,421
16,465
17,459
18,405
19,442
20,400
21,433
22,472
23,443
24,471
25,488
26,475
27,398
28,408
29,399
30,415
31,487
32,420
33,412
34,482
35,477
36,470
37,459
38,421
39,406
40,489
41,441
42,413
43,404
44,427
45,395
46,481
47,422
48,494
49,460
50,394
51,474
52,433
53,458
54,416
55,495
56,478
57,426
58,394
59,409
60,488
61,414
62,441
63,494
64,439
65,463
66,397
67,407
68,487
69,404
70,413
71,449
72,495
73,497
74,409
75,450
76,442
77,479
78,508
79,512
80,398
81,424
82,414
83,443
84,464
85,437
86,459
87,464
88,435
89,463
90,464
91,442
92,437
93,443
94,428
95,400
96,533
97,524
98,475
99,463
100,450
101,397
102,506
103,508
104,434
105,443
106,404
107,465
108,451
109,414
110,477
111,457
112,422
113,493
114,458
115,413
116,513
117,437
118,544
119,495
120,414
121,514
122,521
123,445
124,538
125,487
126,549
127,480
128,436
129,477
130,420
131,508
132,556
133,488
134,542
135,434
136,514
137,437
138,507
139,549
140,462
141,544
142,426
143,493
144,561
145,441
146,547
147,445
148,494
149,560
150,471
151,495
152,560
153,462
154,479
155,556
156,445
157,463
158,403
159,455
160,463
161,523
162,574
163,400
164,451
165,498
166,505
167,549
168,409
169,457
170,403
171,441
172,485
173,489
174,521
175,563
176,567
177,409
178,443
179,443
180,474
181,496
182,406
183,424
184,451
185,443
186,477
187,491
188,469
189,494
190,516
191,508
192,524
193,552
194,441
195,471
196,488
197,444
198,464
199,477
200,440
201,448
202,421
203,422
204,418
205,585
