Time,java.net.InetSocketAddress$InetSocketAddressHolder Data
0,185
1,423
2,365
3,372
4,382
5,134
6,466
7,433
8,359
9,226
10,292
11,227
12,404
13,415
14,210
15,411
16,328
17,316
18,305
19,410
20,355
21,415
22,599
23,521
24,191
25,116
26,142
27,495
28,139
29,187
30,484
31,468
32,435
33,407
34,175
35,107
36,639
37,376
38,194
39,169
40,179
41,570
42,249
43,601
44,431
45,88
46,471
47,259
48,364
49,253
50,625
51,422
52,270
53,472
54,246
55,354
56,507
57,323
58,335
59,121
60,448
61,217
62,122
63,354
64,582
65,517
66,133
67,310
68,371
69,478
70,642
71,618
72,113
73,249
74,154
75,376
76,439
77,370
78,294
79,410
80,263
81,404
82,400
83,274
84,264
85,313
86,208
87,745
88,724
89,405
90,385
91,353
92,663
93,626
94,249
95,308
96,410
97,294
98,228
99,425
100,372
101,239
102,501
103,381
104,196
105,681
106,319
107,762
108,558
109,664
110,627
111,361
112,758
113,589
114,820
115,453
116,234
117,436
118,161
119,655
120,838
121,484
122,747
123,278
124,635
125,235
126,592
127,797
128,374
129,783
130,158
131,593
132,832
133,338
134,776
135,263
136,503
137,838
138,409
139,505
140,834
141,379
142,447
143,820
144,312
145,344
146,335
147,331
148,656
149,916
150,292
151,606
152,619
153,799
154,152
155,347
156,240
157,603
158,488
159,634
160,921
161,862
162,153
163,327
164,263
165,426
166,577
167,111
168,275
169,384
170,366
171,457
172,554
173,424
174,580
175,723
176,563
177,673
178,808
179,324
180,408
181,459
182,332
183,381
184,428
185,275
186,282
187,210
188,180
189,181
190,911
