Time,org.postgresql.jdbc2.ResultWrapper Data
0,400
1,214
2,992
3,214
4,606
5,216
6,930
7,214
8,932
9,214
10,329
11,1010
12,214
13,937
14,214
15,871
16,214
17,664
18,726
19,406
20,170
21,879
22,214
23,835
24,214
25,398
26,829
27,214
28,820
29,253
30,774
31,214
32,473
33,214
34,878
35,214
36,494
37,214
38,890
39,214
40,1099
41,412
42,1027
43,412
44,194
45,402
46,167
47,201
48,244
49,924
50,215
51,226
52,386
53,938
54,216
55,1002
56,219
57,996
58,217
59,1024
60,215
61,482
62,360
63,1189
64,413
65,466
66,215
67,706
68,488
69,258
70,420
71,1123
72,214
73,531
74,185
75,1205
76,214
77,940
78,215
79,308
80,1009
81,215
82,821
83,857
84,568
85,215
86,1244
87,413
88,755
89,209
90,709
91,215
92,310
93,212
94,1014
95,215
96,410
97,215
98,488
99,215
100,920
101,215
102,715
103,211
104,745
105,300
106,316
107,1034
108,207
109,594
110,211
111,434
112,1077
113,211
114,1531
115,215
116,1136
117,215
118,323
119,948
120,931
121,218
122,1097
123,216
124,1575
125,216
126,1291
127,216
128,427
129,855
130,531
131,832
132,212
133,1022
134,212
135,680
136,216
137,651
138,1042
139,212
140,685
141,910
142,212
143,993
144,212
145,562
146,688
147,873
148,212
149,804
150,318
151,1709
152,416
153,1707
154,414
155,737
156,203
157,883
158,208
159,930
160,208
161,318
162,1388
163,410
164,1280
165,212
166,586
167,449
168,208
169,359
170,820
171,208
172,732
173,443
174,208
175,743
176,203
177,785
178,208
179,442
180,212
181,923
182,212
183,905
184,208
185,452
186,212
187,1475
188,408
189,475
190,208
191,1697
192,410
193,1088
194,208
195,331
196,1496
197,406
198,1294
199,203
200,700
201,208
202,1676
203,406
204,1188
205,406
206,1732
207,412
208,1118
209,212
210,925
211,1109
212,208
213,486
214,1258
215,406
216,1740
217,410
218,1123
219,212
220,1424
221,401
222,605
223,212
224,1119
225,214
226,825
227,1353
228,198
229,1671
230,406
231,990
232,212
233,1624
234,406
235,383
236,1094
237,359
238,1552
239,266
240,590
241,212
242,1550
243,403
244,859
245,1138
246,214
247,1825
248,408
249,1103
250,214
251,1138
252,214
253,1819
254,408
255,1097
256,214
257,1124
258,214
259,1804
260,408
261,1024
262,154
263,872
264,421
265,1080
266,212
267,1038
268,1475
269,210
270,1891
271,410
272,424
273,936
274,1253
275,406
276,1321
277,412
278,1789
279,410
280,498
281,1027
282,212
283,422
284,1013
285,1290
286,409
287,1124
288,211
289,1713
290,215
291,1821
292,413
293,1826
294,415
295,608
296,1014
297,211
298,890
299,1109
300,215
301,1452
302,215
303,437
304,672
305,211
306,1049
307,211
308,604
309,215
310,1119
311,217
312,1163
313,215
314,1097
315,215
316,1308
317,215
318,1660
319,413
320,1192
321,215
322,1643
323,215
324,1894
325,413
326,840
327,211
328,997
329,211
330,1058
331,215
332,815
333,211
334,980
335,211
336,1114
337,211
338,724
339,912
340,509
341,211
342,515
343,546
344,1742
345,413
