Time,com.sun.org.apache.xerces.internal.xni.QName Data
0,9465
1,14276
2,14991
3,11871
4,12260
5,4526
6,18176
7,15056
8,2121
9,14666
10,5435
11,12911
12,6866
13,14276
14,17396
15,8946
16,15836
17,14860
18,4461
19,9531
20,4461
21,14211
22,15056
23,17656
24,16941
25,22856
26,21101
27,1406
28,4461
29,4201
30,10311
31,23635
32,8426
33,6346
34,19801
35,18956
36,16551
37,14015
38,8426
39,3031
40,25521
41,14471
42,7321
43,6606
44,10766
45,2641
46,21296
47,6866
48,23636
49,13496
50,2121
51,19671
52,5046
53,12911
54,8946
55,23311
56,20516
57,12586
58,2121
59,3746
60,20581
61,10246
62,16031
63,25130
64,10311
65,13691
66,1341
67,4526
68,21296
69,6735
70,6735
71,12521
72,21101
73,24481
74,6021
75,9791
76,15771
77,20451
78,21881
79,28381
80,3681
81,5046
82,7386
83,15056
84,15056
85,16031
86,12131
87,16616
88,14406
89,15836
90,15771
91,13886
92,11351
93,10311
94,4331
95,3681
96,29486
97,27146
98,18176
99,14991
100,12066
101,2901
102,30981
103,24221
104,13626
105,9271
106,2121
107,17396
108,10571
109,8035
110,19736
111,14276
112,8946
113,24416
114,15056
115,7775
116,24871
117,14536
118,32606
119,23441
120,7646
121,30201
122,28121
123,16616
124,31046
125,24221
126,35011
127,21296
128,5826
129,18566
130,7646
131,26561
132,37351
133,20581
134,32606
135,15251
136,29876
137,6606
138,21881
139,30526
140,14211
141,31111
142,9011
143,22856
144,36766
145,16031
146,33386
147,9401
148,22141
149,35791
150,14276
151,22921
152,35791
153,14211
154,20516
155,35011
156,7386
157,13691
158,2186
159,11806
160,14146
161,28186
162,38911
163,3681
164,10571
165,25780
166,26626
167,30526
168,5241
169,11936
170,2186
171,8166
172,23441
173,21361
174,25326
175,37351
176,38000
177,5241
178,10311
179,12066
180,16616
181,21816
182,4526
183,10701
184,13236
185,17591
186,18695
187,22076
188,17396
189,23636
190,27146
191,26821
192,26561
193,31111
194,16551
195,17265
196,19541
197,17331
198,15056
199,18956
200,13691
201,9726
202,9011
203,9206
204,6606
205,42096
