Time,com.mchange.v2.c3p0.stmt.ValueIdentityStatementCacheKey Data
0,127
1,290
2,172
3,270
4,260
5,107
6,301
7,275
8,53
9,274
10,259
11,248
12,152
13,295
14,282
15,148
16,269
17,276
18,134
19,275
20,51
21,156
22,275
23,148
24,296
25,276
26,290
27,77
28,149
29,106
30,106
31,298
32,84
33,147
34,282
35,272
36,292
37,258
38,136
39,142
40,302
41,178
42,204
43,131
44,103
45,99
46,269
47,139
48,315
49,270
50,102
51,300
52,244
53,255
54,156
55,311
56,231
57,237
58,102
59,97
60,282
61,147
62,181
63,318
64,229
65,262
66,102
67,104
68,274
69,125
70,102
71,280
72,342
73,300
74,108
75,261
76,220
77,278
78,370
79,295
80,117
81,219
82,110
83,220
84,265
85,173
86,242
87,267
88,201
89,243
90,276
91,173
92,197
93,268
94,239
95,107
96,368
97,387
98,251
99,281
100,263
101,102
102,368
103,343
104,196
105,155
106,122
107,256
108,259
109,174
110,268
111,251
112,161
113,269
114,257
115,170
116,387
117,171
118,384
119,347
120,103
121,381
122,335
123,176
124,356
125,321
126,417
127,320
128,246
129,291
130,130
131,345
132,415
133,283
134,307
135,144
136,288
137,264
138,410
139,365
140,296
141,388
142,141
143,287
144,390
145,172
146,375
147,260
148,326
149,427
150,314
151,279
152,382
153,273
154,287
155,406
156,290
157,260
158,79
159,299
160,267
161,402
162,342
163,79
164,224
165,340
166,304
167,348
168,142
169,249
170,86
171,259
172,303
173,258
174,324
175,456
176,378
177,148
178,239
179,216
180,287
181,377
182,100
183,152
184,285
185,165
186,279
187,343
188,298
189,316
190,413
191,313
192,417
193,457
194,223
195,235
196,311
197,222
198,289
199,289
200,237
201,266
202,131
203,163
204,161
205,409
