Time,[Lcom.sun.org.apache.xerces.internal.xni.QName; Data
0,568
1,864
2,908
3,716
4,740
5,264
6,1104
7,912
8,116
9,888
10,320
11,780
12,408
13,864
14,1056
15,536
16,960
17,900
18,260
19,572
20,260
21,860
22,912
23,1072
24,1028
25,1392
26,1284
27,72
28,260
29,244
30,620
31,1440
32,504
33,376
34,1204
35,1152
36,1004
37,848
38,504
39,172
40,1556
41,876
42,436
43,392
44,648
45,148
46,1296
47,408
48,1440
49,816
50,116
51,1196
52,296
53,780
54,536
55,1420
56,1248
57,760
58,116
59,216
60,1252
61,616
62,972
63,1532
64,620
65,828
66,68
67,264
68,1296
69,400
70,400
71,756
72,1284
73,1492
74,356
75,588
76,956
77,1244
78,1332
79,1732
80,212
81,296
82,440
83,912
84,912
85,972
86,732
87,1008
88,872
89,960
90,956
91,840
92,684
93,620
94,252
95,212
96,1800
97,1656
98,1104
99,908
100,728
101,164
102,1892
103,1476
104,824
105,556
106,116
107,1056
108,636
109,480
110,1200
111,864
112,536
113,1488
114,912
115,464
116,1516
117,880
118,1992
119,1428
120,456
121,1844
122,1716
123,1008
124,1896
125,1476
126,2140
127,1296
128,344
129,1128
130,456
131,1620
132,2284
133,1252
134,1992
135,924
136,1824
137,392
138,1332
139,1864
140,860
141,1900
142,540
143,1392
144,2248
145,972
146,2040
147,564
148,1348
149,2188
150,864
151,1396
152,2188
153,860
154,1248
155,2140
156,440
157,828
158,120
159,712
160,856
161,1720
162,2380
163,212
164,636
165,1572
166,1624
167,1864
168,308
169,720
170,120
171,488
172,1428
173,1300
174,1544
175,2284
176,2324
177,308
178,620
179,728
180,1008
181,1328
182,264
183,644
184,800
185,1068
186,1136
187,1344
188,1056
189,1440
190,1656
191,1636
192,1620
193,1900
194,1004
195,1048
196,1188
197,1052
198,912
199,1152
200,828
201,584
202,540
203,552
204,392
205,2576
