Time,[Ljava.net.InetAddress; Data
0,153
1,399
2,314
3,331
4,355
5,429
6,398
7,376
8,272
9,330
10,270
11,540
12,572
13,354
14,629
15,573
16,314
17,615
18,276
19,445
20,360
21,516
22,667
23,638
24,147
25,237
26,195
27,213
28,605
29,487
30,512
31,502
32,533
33,258
34,225
35,820
36,553
37,378
38,383
39,551
40,244
41,622
42,535
43,188
44,620
45,441
46,566
47,433
48,864
49,442
50,243
51,152
52,587
53,340
54,446
55,711
56,545
57,560
58,357
59,378
60,450
61,201
62,158
63,444
64,697
65,683
66,300
67,346
68,535
69,747
70,698
71,219
72,419
73,336
74,582
75,712
76,612
77,312
78,444
79,248
80,479
81,499
82,340
83,395
84,505
85,462
86,313
87,1058
88,1083
89,427
90,407
91,418
92,117
93,764
94,792
95,380
96,514
97,284
98,701
99,609
100,543
101,440
102,411
103,255
104,579
105,506
106,293
107,909
108,493
109,1034
110,827
111,393
112,967
113,675
114,347
115,829
116,624
117,930
118,584
119,377
120,629
121,322
122,882
123,1137
124,798
125,791
126,277
127,667
128,321
129,747
130,984
131,576
132,1048
133,384
134,849
135,1154
136,633
137,807
138,301
139,557
140,943
141,514
142,640
143,1020
144,569
145,671
146,1096
147,585
148,629
149,390
150,401
151,762
152,1040
153,219
154,499
155,829
156,891
157,1147
158,450
159,750
160,280
161,659
162,591
163,803
164,1087
165,1091
166,341
167,625
168,527
169,776
170,963
171,258
172,447
173,405
174,592
175,699
176,639
177,765
178,1014
179,847
180,1013
181,1198
182,296
183,469
184,533
185,405
186,551
187,621
188,456
189,538
190,474
191,443
192,511
193,1322
