Time,javax.management.Notification Data
0,56
1,72
2,90
3,103
4,111
5,116
6,120
7,126
8,130
9,134
10,138
11,142
12,146
13,150
14,155
15,159
16,163
17,166
18,169
19,175
20,179
21,182
22,186
23,190
24,194
25,198
26,202
27,205
28,209
29,213
30,217
31,222
32,226
33,229
34,233
35,236
36,240
37,244
38,247
39,251
40,254
41,258
42,261
43,266
44,270
45,274
46,277
47,280
48,284
49,287
50,290
51,294
52,297
53,301
54,304
55,308
56,312
57,315
58,318
59,321
60,324
61,329
62,332
63,335
64,338
65,341
66,344
67,348
68,351
69,354
70,357
71,360
72,363
73,368
74,371
75,374
76,377
77,380
78,383
79,386
80,389
81,392
82,395
83,397
84,400
85,405
86,408
87,411
88,414
89,416
90,419
91,422
92,425
93,428
94,430
95,433
96,436
97,440
98,443
99,446
100,448
101,451
102,454
103,456
104,459
105,461
106,464
107,467
108,469
109,473
110,476
111,478
112,481
113,483
114,486
115,489
116,491
117,494
118,496
119,498
120,501
121,505
122,508
123,510
124,513
125,515
126,517
127,520
128,522
129,525
130,527
131,529
132,532
133,535
134,538
135,540
136,542
137,545
138,547
139,549
140,552
141,554
142,556
143,559
144,561
145,565
146,567
147,569
148,571
149,573
150,576
151,578
152,580
153,582
154,584
155,587
156,589
157,593
158,595
159,597
160,599
161,601
162,603
163,605
164,608
165,610
166,612
167,614
168,616
169,620
170,622
171,624
172,626
173,628
174,630
175,632
176,634
177,636
178,638
179,640
180,642
181,646
182,648
183,650
184,652
185,654
186,656
187,658
188,660
189,662
190,664
191,666
192,667
