Time,javax.xml.bind.JAXBElement Data
0,130
1,130
2,128
3,134
4,133
5,133
6,131
7,129
8,127
9,132
10,127
11,132
12,133
13,132
14,132
15,131
16,132
17,128
18,135
19,127
20,132
21,127
22,133
23,133
24,127
25,128
26,130
27,127
28,128
29,127
30,129
31,132
32,130
33,130
34,130
35,136
36,136
37,134
38,130
39,128
40,128
41,135
42,130
43,131
44,131
45,132
46,129
47,133
48,132
49,134
50,133
51,127
52,128
53,132
54,128
55,135
56,132
57,129
58,132
59,130
60,134
61,132
