Time,[[I Data
0,42509
1,906
2,71869
3,1142
4,71878
5,1192
6,71878
7,1022
8,71878
9,1041
10,71878
11,652
12,71878
13,1342
14,71880
15,1176
16,42987
17,532
18,42987
19,1167
20,42988
21,703
22,42988
23,1078
24,42988
25,778
26,42988
27,1142
28,42988
29,1302
30,42988
31,878
32,42988
33,1216
34,42988
35,1183
36,42988
37,658
38,42989
39,902
40,42947
41,652
42,43166
43,1142
44,43166
45,1182
46,43166
47,1332
48,43166
49,1282
50,43166
51,1586
52,43166
53,1486
54,43166
55,492
56,43166
57,658
58,43166
59,632
60,43175
61,957
62,43175
63,1622
64,43144
65,858
66,43144
67,753
68,43144
69,1427
70,43145
71,1382
72,43145
73,1262
74,43145
75,1126
76,43145
77,858
78,43145
79,588
80,43145
81,1706
82,43145
83,1162
84,43145
85,798
86,43145
87,756
88,43146
89,978
90,43146
91,562
92,43146
93,1502
94,43146
95,778
96,43146
97,1628
98,43146
99,1096
100,43146
101,532
102,43146
103,1422
104,43146
105,678
106,43146
107,1078
108,43148
109,882
110,43148
111,1607
112,43148
113,1462
114,43148
115,1062
116,43148
117,532
118,43148
119,612
120,43148
121,1462
122,43148
123,936
124,43148
125,1242
126,43148
127,1697
128,43148
129,936
130,43148
131,1118
132,43148
133,492
134,43148
135,652
136,43148
137,1508
138,43148
139,761
140,43148
141,767
142,43148
143,1057
144,43148
145,1482
146,43148
147,1662
148,43148
149,738
150,43148
151,912
152,43148
153,1222
154,43148
155,1462
156,43148
157,1522
158,43148
159,1868
160,43148
161,612
162,43148
163,672
164,43148
165,802
166,43148
167,1182
168,43148
169,1176
170,43148
171,1242
172,43148
173,1038
174,43148
175,1256
176,43148
177,1158
178,43148
179,1222
180,43148
181,1222
182,43148
183,1138
184,43148
185,998
186,43148
187,942
188,43148
189,637
190,43148
191,612
192,43148
193,1912
194,43148
195,1786
196,43148
197,1342
198,43148
199,1182
200,43148
201,1031
202,43148
203,572
204,43148
205,1992
206,43148
207,1642
208,43148
209,1118
210,43148
211,897
212,43148
213,538
214,43148
215,1302
216,43148
217,958
218,43148
219,837
220,43148
221,1422
222,43148
223,1142
224,43148
225,882
226,43148
227,1662
228,43148
229,1182
230,43148
231,827
232,43148
233,1671
234,43148
235,1167
236,43148
237,2072
238,43148
239,1602
240,43148
241,812
242,43148
243,1952
244,43148
245,1842
246,43148
247,1262
248,43148
249,1992
250,43148
251,1646
252,43148
253,2192
254,43148
255,1502
256,43148
257,718
258,43148
259,1367
260,43148
261,818
262,43148
263,1772
264,43148
265,2312
266,43148
267,1462
268,43148
269,2072
270,43148
271,1196
272,43148
273,1948
274,43148
275,758
276,43148
277,1522
278,43148
279,1968
280,43148
281,1142
282,43148
283,1986
284,43148
285,893
286,43148
287,1588
288,43148
289,2288
290,43148
291,1242
292,43148
293,2112
294,43148
295,897
296,43148
297,1542
298,43148
299,2232
300,43148
301,1142
302,43148
303,1582
304,43148
305,2232
306,43148
307,1142
308,43148
309,1462
310,43148
311,2192
312,43148
313,798
314,43148
315,1118
316,43148
317,532
318,43148
319,1022
320,43148
321,1148
322,43148
323,1848
324,43148
325,2398
326,43148
327,612
328,43148
329,958
330,43148
331,1732
332,43148
333,1766
334,43148
335,1972
336,43148
337,698
338,43148
339,1016
340,43148
341,532
342,43148
343,838
344,43148
345,1606
346,43148
347,1502
348,43148
349,1713
350,43148
351,2312
352,43148
353,2347
354,43148
355,698
356,43148
357,936
358,43148
359,1038
360,43148
361,1262
362,43148
363,1522
364,43148
365,652
366,43148
367,967
368,43148
369,1091
370,43148
371,1322
372,43148
373,1372
374,43148
375,1548
376,43148
377,1302
378,43148
379,1628
380,43148
381,1786
382,43148
383,1788
384,43148
385,1768
386,43148
387,1992
388,43149
389,1262
390,43149
391,1297
392,43149
393,1423
394,43149
395,1302
396,43149
397,1182
398,43149
399,1382
400,43149
401,1118
402,43149
403,918
404,43149
405,876
406,43149
407,898
408,43149
409,758
410,43150
411,2552
