Time,com.sun.xml.ws.policy.jaxws.xmlstreamwriter.Invocation Data
0,11705
1,11705
2,11705
3,11705
4,11705
5,11705
6,11705
7,11705
8,11705
9,11705
10,11705
11,11705
12,9180
13,11705
14,11705
15,11705
16,11705
17,11705
18,23410
19,11705
20,11705
21,11705
22,11705
23,11705
24,11705
25,11705
26,11705
27,11705
28,11705
29,11705
30,11705
31,11705
32,11705
33,23410
34,11705
35,11705
36,11705
37,11705
38,23410
39,11705
40,11705
41,11705
42,11705
43,11705
44,11705
45,11705
46,23410
47,11705
48,11705
49,11705
50,11705
51,11705
52,11705
53,11705
54,20948
55,11705
56,11705
57,11705
58,11705
59,11705
60,11705
61,11705
62,11705
63,11705
64,11705
65,23410
66,11705
67,11705
68,11705
69,11705
70,23410
71,11705
72,11705
73,11705
74,11705
75,11705
76,11705
77,11705
78,11705
79,11705
80,11705
81,11705
82,11705
83,11705
84,11705
85,23410
86,11705
87,23410
88,11705
89,11705
90,23410
91,11705
92,23410
93,11705
94,11705
95,11705
96,11705
97,23410
98,23410
99,11705
100,23410
101,23410
102,11705
103,11705
104,23410
105,11705
106,11705
107,23410
108,23410
109,11705
110,23410
111,11705
112,23410
113,11705
114,11705
115,23410
116,11705
117,11705
118,23410
119,11705
120,11705
121,11705
122,11705
123,23410
124,35115
125,11705
126,23410
127,11705
128,23410
129,11705
130,11705
131,11705
132,11705
133,23410
134,23410
135,23410
136,11705
137,11705
138,11705
139,11705
140,11705
141,11705
142,11705
143,11705
144,23410
145,11705
146,23410
147,11705
148,11705
149,23410
150,23410
151,11705
152,11705
153,11705
154,11705
155,11705
156,11705
157,11705
158,11705
159,11705
160,11705
161,23410
