Time,com.mchange.v2.c3p0.stmt.GooGooStatementCache$1StmtAcquireTask Data
0,264
1,208
2,207
3,253
4,220
5,240
6,224
7,176
8,248
9,241
10,210
11,238
12,219
13,245
14,271
15,284
16,256
17,247
18,225
19,241
20,245
21,201
22,274
23,129
24,241
25,288
26,222
27,267
28,182
29,188
30,332
31,257
32,177
33,277
34,286
35,161
36,197
37,294
38,226
39,365
40,256
41,186
42,175
43,251
44,435
45,290
46,142
47,135
48,208
49,222
50,205
51,128
52,212
53,265
54,122
55,204
56,157
57,454
58,450
59,268
60,245
61,232
62,416
63,371
64,143
65,199
66,209
67,252
68,200
69,241
70,199
71,433
72,481
73,286
74,412
75,446
76,488
77,290
78,476
79,263
80,178
81,240
82,329
83,429
84,257
85,512
86,302
87,195
88,424
89,512
90,261
91,442
92,322
93,488
94,512
95,183
96,267
97,521
98,252
99,270
100,492
101,237
102,246
103,496
104,253
105,206
106,253
107,212
108,455
109,547
110,181
111,319
112,279
113,504
114,191
115,230
116,274
117,261
118,492
119,517
120,505
121,186
122,150
123,253
124,426
125,234
126,243
127,302
128,271
129,292
130,420
131,304
132,451
133,518
134,169
135,238
136,295
137,160
138,244
139,250
140,146
141,228
142,539
