Time,java.util.Collections$SetFromMap Data
0,176
1,725
2,434
3,653
4,597
5,812
6,644
7,741
8,531
9,574
10,247
11,724
12,742
13,263
14,679
15,717
16,136
17,528
18,351
19,730
20,468
21,762
22,993
23,826
24,221
25,219
26,928
27,212
28,215
29,759
30,805
31,770
32,563
33,188
34,127
35,893
36,358
37,348
38,322
39,839
40,224
41,1025
42,634
43,812
44,449
45,619
46,283
47,1004
48,845
49,498
50,846
51,216
52,426
53,915
54,426
55,615
56,966
57,665
58,1048
59,880
60,220
61,521
62,542
63,817
64,1199
65,1064
66,358
67,450
68,645
69,400
70,640
71,645
72,465
73,654
74,764
75,393
76,401
77,511
78,372
79,1383
80,1289
81,771
82,734
83,600
84,1290
85,1090
86,446
87,276
88,704
89,556
90,231
91,811
92,571
93,235
94,935
95,620
96,255
97,1224
98,360
99,1566
100,942
101,1262
102,1333
103,393
104,1510
105,920
106,1473
107,833
108,450
109,775
110,186
111,1073
112,1547
113,846
114,1534
115,362
116,1141
117,484
118,1126
119,1505
120,723
121,1404
122,217
123,1030
124,1653
125,400
126,1568
127,494
128,887
129,1615
130,723
131,894
132,1615
133,699
134,817
135,1544
136,564
137,644
138,644
139,709
140,1271
141,1777
142,564
143,1026
144,977
145,1508
146,213
147,554
148,590
149,868
150,853
151,1390
152,1626
153,1623
154,213
155,505
156,499
157,771
158,1126
159,276
160,634
161,468
162,803
163,948
164,733
165,1023
166,1263
167,1018
168,1335
169,1493
170,576
171,762
172,890
173,563
174,694
175,802
176,464
177,633
178,173
179,285
180,267
181,1767
