Time,org.xml.sax.InputSource Data
0,150
1,183
2,174
3,178
4,170
5,236
6,211
7,242
8,200
9,191
10,166
11,255
12,215
13,245
14,199
15,239
16,208
17,208
18,160
19,256
20,220
21,213
22,248
23,206
24,222
25,293
26,159
27,162
28,144
29,140
30,304
31,275
32,182
33,319
34,246
35,135
36,173
37,199
38,250
39,251
40,339
41,236
42,310
43,289
44,163
45,322
46,245
47,362
48,215
49,187
50,273
51,388
52,208
53,338
54,148
55,311
56,221
57,318
58,318
59,237
60,386
61,159
62,347
63,225
64,372
65,233
66,372
67,207
68,362
69,292
70,409
71,264
72,270
73,318
74,235
75,216
76,264
77,388
78,395
79,166
80,223
81,177
82,189
83,227
84,173
85,245
86,274
87,276
88,276
89,321
90,164
91,173
92,199
93,172
94,191
95,440
