Time,org.apache.hadoop.fs.FileSystem$Cache$Key Data
0,151
1,180
2,193
3,207
4,222
5,235
6,250
7,264
8,277
9,291
10,306
11,319
12,333
13,348
14,361
15,376
16,390
17,403
18,418
19,432
20,445
21,460
22,474
23,489
24,496
25,508
26,523
27,537
28,550
29,565
30,579
31,594
32,607
33,621
34,636
35,649
36,663
37,678
38,691
39,705
40,720
41,733
42,747
43,762
44,775
45,790
46,804
47,817
48,831
49,846
50,859
51,873
52,888
53,901
54,916
55,930
56,943
57,958
58,972
59,985
60,999
61,1012
62,1026
63,1041
64,1054
65,1068
66,1083
67,1096
68,1110
69,1125
70,1138
71,1152
72,1167
73,1180
74,1194
75,1209
76,1222
77,1237
78,1251
79,1264
80,1279
81,1293
82,1306
83,1321
84,1335
85,1348
86,1363
87,1377
88,1392
89,1405
90,1419
91,1434
92,1447
93,1461
94,1476
95,1489
96,1503
97,1518
98,1531
99,1546
100,1560
101,1573
102,1588
103,1602
104,1615
105,1630
106,1644
107,1657
108,1672
109,1686
110,1701
111,1714
112,1728
113,1743
114,1756
115,1770
116,1785
117,1798
118,1812
119,1827
120,1840
121,1854
122,1869
123,1882
124,1897
125,1911
126,1924
127,1939
128,1953
129,1967
130,1981
131,1995
132,2010
133,2023
134,2037
135,2052
136,2065
137,2079
138,2094
139,2107
140,2121
141,2136
142,2149
143,2163
144,2178
145,2191
146,2205
147,2220
148,2233
149,2248
150,2262
151,2275
152,2290
153,2304
154,2317
155,2332
156,2346
157,2359
158,2374
159,2388
160,2401
161,2416
162,2430
163,2445
164,2458
165,2472
166,2487
167,2500
168,2514
169,2529
170,2542
171,2556
172,2571
173,2584
174,2598
175,2613
176,2626
177,2640
178,2655
179,2668
180,2683
181,2697
182,2710
183,2724
184,2739
185,2752
186,2766
187,2781
188,2794
189,2809
190,2823
191,2836
192,2851
193,2865
194,2878
195,2892
196,2905
197,2920
198,2934
199,2947
