Time,org.apache.hadoop.fs.LocalFileSystem Data
0,84
1,109
2,123
3,138
4,151
5,165
6,180
7,193
8,207
9,222
10,235
11,250
12,264
13,277
14,291
15,306
16,319
17,333
18,348
19,361
20,376
21,390
22,403
23,418
24,432
25,445
26,460
27,474
28,489
29,496
30,508
31,523
32,537
33,550
34,565
35,579
36,594
37,607
38,621
39,636
40,649
41,663
42,678
43,691
44,705
45,720
46,733
47,747
48,762
49,775
50,790
51,804
52,817
53,831
54,846
55,859
56,873
57,888
58,901
59,916
60,930
61,943
62,958
63,972
64,985
65,999
66,1012
67,1026
68,1041
69,1054
70,1068
71,1083
72,1096
73,1110
74,1125
75,1138
76,1152
77,1167
78,1180
79,1194
80,1209
81,1222
82,1237
83,1251
84,1264
85,1279
86,1293
87,1306
88,1321
89,1335
90,1348
91,1363
92,1377
93,1392
94,1405
95,1419
96,1434
97,1447
98,1461
99,1476
100,1489
101,1503
102,1518
103,1531
104,1546
105,1560
106,1573
107,1588
108,1602
109,1615
110,1630
111,1644
112,1657
113,1672
114,1686
115,1701
116,1714
117,1728
118,1743
119,1756
120,1770
121,1785
122,1798
123,1812
124,1827
125,1840
126,1854
127,1869
128,1882
129,1897
130,1911
131,1924
132,1939
133,1953
134,1967
135,1981
136,1995
137,2010
138,2023
139,2037
140,2052
141,2065
142,2079
143,2094
144,2107
145,2121
146,2136
147,2149
148,2163
149,2178
150,2191
151,2205
152,2220
153,2233
154,2248
155,2262
156,2275
157,2290
158,2304
159,2317
160,2332
161,2346
162,2359
163,2374
164,2388
165,2401
166,2416
167,2430
168,2445
169,2458
170,2472
171,2487
172,2500
173,2514
174,2529
175,2542
176,2556
177,2571
178,2584
179,2598
180,2613
181,2626
182,2640
183,2655
184,2668
185,2683
186,2697
187,2710
188,2724
189,2739
190,2752
191,2766
192,2781
193,2794
194,2809
195,2823
196,2836
197,2851
198,2865
199,2878
200,2892
201,2905
202,2920
203,2934
204,2947
