Time,org.apache.hadoop.yarn.proto.YarnProtos$ApplicationIdProto Data
0,88
1,112
2,162
3,154
4,120
5,124
6,127
7,78
8,119
9,151
10,76
11,127
12,135
13,108
14,127
15,172
16,141
17,207
18,179
19,207
20,88
21,195
22,167
23,143
24,92
25,191
26,135
27,104
28,175
29,76
30,207
31,109
32,172
33,127
34,207
35,171
36,194
37,152
38,234
39,147
40,60
41,187
42,68
43,178
44,234
45,95
46,130
47,183
48,184
49,268
50,84
51,143
52,127
53,140
54,97
55,123
56,120
57,139
58,112
59,140
60,107
61,254
62,204
63,155
64,126
65,247
66,210
67,116
68,111
69,151
70,101
71,171
72,117
73,234
74,125
75,194
76,122
77,282
78,218
79,84
80,269
81,232
82,143
83,258
84,209
85,301
86,183
87,163
88,86
89,242
90,341
91,184
92,262
93,137
94,274
95,186
96,269
97,116
98,269
99,102
100,207
101,341
102,156
103,280
104,202
105,317
106,119
107,218
108,317
109,108
110,183
111,317
112,147
113,147
114,259
115,349
116,101
117,207
118,246
119,269
120,103
121,183
122,192
123,210
124,325
125,343
126,114
127,143
128,184
129,172
130,167
131,176
132,135
133,207
134,216
135,258
136,234
137,267
138,132
139,151
140,177
141,156
142,111
143,167
144,127
145,88
146,90
147,416
