Time,com.sun.org.apache.xerces.internal.impl.msg.XMLMessageFormatter Data
0,219
1,268
2,220
3,214
4,187
5,256
6,232
7,217
8,207
9,220
10,260
11,249
12,340
13,313
14,147
15,352
16,293
17,280
18,243
19,381
20,211
21,154
22,316
23,352
24,291
25,347
26,304
27,305
28,235
29,375
30,199
31,316
32,313
33,365
34,231
35,303
36,325
37,425
38,220
39,220
40,235
41,244
42,210
43,232
44,231
45,202
46,442
47,406
48,268
49,219
50,465
51,361
52,198
53,256
54,292
55,364
56,220
57,371
58,212
59,490
60,349
61,453
62,421
63,244
64,466
65,361
66,527
67,316
68,274
69,397
70,563
71,305
72,490
73,223
74,448
75,325
76,458
77,467
78,340
79,554
80,235
81,502
82,329
83,539
84,341
85,539
86,304
87,527
88,206
89,422
90,587
91,385
92,398
93,458
94,349
95,317
96,378
97,563
98,573
99,244
100,324
101,259
102,276
103,328
104,256
105,352
106,406
107,401
108,397
109,467
110,243
111,254
112,289
113,255
114,220
115,280
116,199
117,636
